Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Bat Cave","The Bat Roof > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/105945102/the-bat-cave,3.5,-1,Boulder,V3+,1,12,35.08209,-111.60985
"The Wave","The Wave Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105962630/the-wave,3.2,-1,Boulder,V0+,1,10,34.46757,-112.43804
"The Coffin","Coffin Roof > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106158204/the-coffin,3.2,-1,Boulder,V3,1,10,35.08098,-111.60413
"The Fin","The Bat Roof > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106030611/the-fin,3.1,-1,Boulder,V1-2,1,12,35.08209,-111.60985
"Lazer Cut","Free Willy/Lazer Cut Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106507931/lazer-cut,3.1,-1,Boulder,V3,1,15,34.87282,-111.75338
"Left Arete","Welcome Boulder (aka Triangle Boulder) > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106047275/left-arete,2.8,-1,Boulder,V0,1,18,35.08201,-111.59841
"The Whip and the Cross","Parking Area Bouldering > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106131813/the-whip-and-the-cross,3.1,-1,Boulder,V4-5,1,12,35.08201,-111.6004
Facelift,"The Island (Facelift Area) > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106268074/facelift,3.5,-1,Boulder,V4,1,12,34.46593,-112.43992
Sinker,"Cracker Jack Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105800645/sinker,2.5,-1,"Sport, Boulder","5.6 V-easy",1,,34.75582,-111.06739
"Aloha Arete","Trailer Park > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106155118/aloha-arete,3.1,-1,Boulder,V2,1,12,35.06591,-111.69528
Centerpiece,"Buffalo Park > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106072226/centerpiece,3.7,-1,Boulder,V2,1,20,35.2191,-111.6287
"Bump to Conclusions","DWS East Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/107258980/bump-to-conclusions,3.8,-1,Boulder,V3,1,20,34.95661,-110.65823
"Hot Carl","Trailer Park > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106208946/hot-carl,3.5,-1,Boulder,V4,1,15,35.06591,-111.69528
"White Streak","Welcome Boulder (aka Triangle Boulder) > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106066173/white-streak,2.4,-1,Boulder,V2,1,,35.08201,-111.59841
"V0 Traverse","Welcome Boulder (aka Triangle Boulder) > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106285136/v0-traverse,2.6,-1,Boulder,V0,1,15,35.08201,-111.59841
"Aloha Left Arete","Trailer Park > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106155145/aloha-left-arete,2.6,-1,Boulder,V2,1,12,35.06591,-111.69528
"Bat Roof Direct","The Bat Roof > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107562654/bat-roof-direct,3.2,-1,Boulder,V4,1,,35.08209,-111.60985
"Flexi Flake","Welcome Boulder (aka Triangle Boulder) > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106144161/flexi-flake,2.5,-1,Boulder,V4,1,12,35.08201,-111.59841
"The Yoker","Parking Area Bouldering > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106158129/the-yoker,3.0,-1,Boulder,V3,1,15,35.08201,-111.6004
"Hookers are fun!","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672009/hookers-are-fun,3.1,-1,Boulder,V2,1,,33.35761,-112.00958
"Silly Little Dirty","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672017/silly-little-dirty,2.7,-1,Boulder,V2,1,,33.35761,-112.00958
Dishwasher,"Parking Area Bouldering > Priest Draw > Priest Draw Area > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106029524/dishwasher,2.6,-1,Boulder,V3,1,12,35.08201,-111.6004
"Alien Autopsy","Vector Arena > Oak Flat > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106991335/alien-autopsy,4.0,-1,Boulder,V3,1,12,33.29999,-111.05145
"Sea King","DWS East Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106974070/sea-king,3.6,-1,"Trad, Boulder","5.11b V4",1,35,34.95661,-110.65823
"The Tongue","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672230/the-tongue,2.7,-1,Boulder,V2,1,,33.35761,-112.00958
"Wave Traverse","The Wave Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106120371/wave-traverse,2.8,-1,Boulder,"V0 PG13",1,15,34.46757,-112.43804
"Switched On","DWS West Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106541703/switched-on,3.8,-1,"Trad, Boulder","5.11d V3-4",1,,34.96125,-110.65969
"The Infamous Lieback","Lieback Rock > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106588277/the-infamous-lieback,3.1,-1,Boulder,V2-,1,15,34.46732,-112.43803
"Last Day Of Summer","DWS West Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106539462/last-day-of-summer,3.6,-1,Boulder,V3+,1,20,34.96125,-110.65969
"Razors Edge","World Boulder > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106673421/razors-edge,2.8,-1,Boulder,V0+,1,,33.35722,-112.01162
