Route,Location,Latitude,Longitude,URL,votes_most_log
Walk in the Park (V7-8 X 2.5 2),Dominatrix Crack Boulder,31.91883,-109.96462,https://www.mountainproject.com/route/120709195/walk-in-the-park,0.3010299956639812
King Of The Hill (V0-1 3.0 2),Too Small to Solo Wall,35.11194,-111.70812,https://www.mountainproject.com/route/121691777/king-of-the-hill,0.3010299956639812
Guided by Voices (V4 X 3.3 3),The Heart,31.90042,-110.03317,https://www.mountainproject.com/route/116551448/guided-by-voices,0.47712125471966244
"Wanting a Hula Hoop, Hammer & a Beer (5.9 V3 3.0 2)",Super Crack Tower,34.9033,-111.748,https://www.mountainproject.com/route/107007086/wanting-a-hula-hoop-hammer-a-beer,0.3010299956639812
"Heal Hooks (V1+ 2.3 15) 
 Block Obama (V10 2.5 11)",The Cave,32.31348,-110.74195,https://www.mountainproject.com/route/106611002/heal-hooks,1.1760912590556813
Slingshot (V1 3.0 2),HayStack Boulder,34.45755,-112.44839,https://www.mountainproject.com/route/106387506/slingshot,0.3010299956639812
Gastoseam (V8 3.0 2),Boulder C,32.3973,-110.6911,https://www.mountainproject.com/route/106552267/gastoseam,0.3010299956639812
Hide and Seek (V4 2.7 3),The Hidden Wall,35.1022,-111.55606,https://www.mountainproject.com/route/107075364/hide-and-seek,0.47712125471966244
White Chocolate (V3-4 3.3 3),Milla Vanilla Boulder,32.29998,-110.70997,https://www.mountainproject.com/route/105900774/white-chocolate,0.47712125471966244
Finn It (V2 3.0 2),Adventure Time Boulder,33.74375,-112.17333,https://www.mountainproject.com/route/107944808/finn-it,0.3010299956639812
Kick Boxer (V4 PG13 3.0 2),Kick Boxer Roof,35.0816,-111.5995,https://www.mountainproject.com/route/107428036/kick-boxer,0.3010299956639812
The Yamaka (V4 3.3 4),Upper Skyline,35.22934,-111.60624,https://www.mountainproject.com/route/108687687/the-yamaka,0.6020599913279624
The Electric Grandmother (V4-5 3.0 2),The Mushroom Boulder,35.05943,-111.71183,https://www.mountainproject.com/route/107703437/the-electric-grandmother,0.3010299956639812
Crossed Up (V0+ 3.3 4),Fire Road Rocks,34.469,-112.44091,https://www.mountainproject.com/route/123098711/crossed-up,0.6020599913279624
Hepatitis (V5 R 3.0 2),Poor Decisions,33.74009,-112.17517,https://www.mountainproject.com/route/109103252/hepatitis,0.3010299956639812
Dragonforce (V5 3.0 2),4) Dragonforce,35.23633,-111.61271,https://www.mountainproject.com/route/109978256/dragonforce,0.3010299956639812
Swerve (V7 3.0 2),Swerve Boulder,32.3758,-110.951,https://www.mountainproject.com/route/113447704/swerve,0.3010299956639812
Hualapai Huarm-up (V0 3.0 2),Hualapai Huarm-up Boulder,35.09652,-113.89198,https://www.mountainproject.com/route/121786723/hualapai-huarm-up,0.3010299956639812
Dolphin Face (V1-2 3.0 2),Dolphin Boulder,35.09838,-113.88185,https://www.mountainproject.com/route/121368427/dolphin-face,0.3010299956639812
Water crack (V2-3 3.0 2),Water Crack Boulder,31.88886,-110.01274,https://www.mountainproject.com/route/122110079/water-crack,0.3010299956639812
Brain Hotel (V5 3.0 2),1) Brain Hotel,35.23449,-111.61404,https://www.mountainproject.com/route/114808179/brain-hotel,0.3010299956639812
Fresh Hell (V1 PG13 3.0 2),Fresh Hell,31.94249,-109.9678,https://www.mountainproject.com/route/120235955/fresh-hell,0.3010299956639812
Huecos of Destiny (V0 3.0 2),White Rock Canyon Trail,35.96936,-114.72225,https://www.mountainproject.com/route/114340324/huecos-of-destiny,0.3010299956639812
"Over 9,000 (V4 3.0 2)",Sauna,35.22795,-111.60784,https://www.mountainproject.com/route/115571472/over-9000,0.3010299956639812
Original (V1-2 3.0 2),Jaws Boulder/Pringle Wall,33.34359,-112.01251,https://www.mountainproject.com/route/119690554/original,0.3010299956639812
"Meat the Bonsai (V5 3.0 2) 
 Flopchute (V2-3 3.0 2)",Gulch Wall,31.88886,-110.01275,https://www.mountainproject.com/route/122109881/meat-the-bonsai,0.3010299956639812
Moonlight Mile (V3 3.0 3),Lindita,32.43911,-110.75227,https://www.mountainproject.com/route/117719192/moonlight-mile,0.47712125471966244
"Pakalolo (V2 PG13 3.0 2) 
 Captain ZigZag (V2 PG13 3.0 2)",The Forest,32.36121,-110.71645,https://www.mountainproject.com/route/117281350/pakalolo,0.3010299956639812
Tabernacle/Alter Linkup (V3 3.0 2),Shrine,32.34969,-111.149,https://www.mountainproject.com/route/120070832/tabernaclealter-linkup,0.3010299956639812
This Isn't the Choss You're Looking For (V9 PG13 3.0 2),Choss Boulder,33.34348,-112.0122,https://www.mountainproject.com/route/120240210/this-isnt-the-choss-youre-looking-for,0.3010299956639812
Pogo-a-Go-Go (V4 3.0 3),The Painted Lady,31.87672,-110.02736,https://www.mountainproject.com/route/116183811/pogo-a-go-go,0.47712125471966244
Snake Farm (V3-4 3.0 2),Snake Farm Boulder,31.92414,-109.96833,https://www.mountainproject.com/route/119658649/snake-farm,0.3010299956639812
"Ramada Suites (V5 3.0 2) 
 All Systems Go (V5 3.0 2)",Solitude Boulder,32.4296,-110.78125,https://www.mountainproject.com/route/122409863/ramada-suites,0.3010299956639812
#12 (V0- 3.0 3),Campground Boulders,33.30524,-111.05977,https://www.mountainproject.com/route/119169099/12,0.47712125471966244
Ambient Yeast (V4 3.0 2),Ambient Yeast Boulder,31.94549,-109.96587,https://www.mountainproject.com/route/120231433/ambient-yeast,0.3010299956639812
"Necta-Reach (V6 3.0 2) 
 Blood Orange (V10 3.0 1)",5) Queen Bee Area,35.23168,-111.60301,https://www.mountainproject.com/route/121286995/necta-reach,0.3010299956639812
Observation Room (V7 3.3 4),Observation Room,33.34317,-112.01009,https://www.mountainproject.com/route/120259696/observation-room,0.6020599913279624
"Testosterone Replacement Therapy (V7 PG13 3.0 2) 
 Circumnavigation (V7 3.3 3)",Ramada Overhangs,32.39122,-110.70881,https://www.mountainproject.com/route/120229601/testosterone-replacement-therapy,0.3010299956639812
"Snake Bite (V8 3.0 2) 
 Moon Walk The Sun (V9 3.0 2)",Animal House,33.33638,-112.02474,https://www.mountainproject.com/route/120240697/snake-bite,0.3010299956639812
Mother Insists (V7 3.3 3),Dinner Table,31.92027,-109.96507,https://www.mountainproject.com/route/121079437/mother-insists,0.47712125471966244
Tambourine Man (V1-2 R 3.0 2),Devils Bridge Boulder,34.89802,-111.80828,https://www.mountainproject.com/route/118656313/tambourine-man,0.3010299956639812
Lonely Blues Picker (V2 2.5 4),One Man Band Area,35.29845,-111.70263,https://www.mountainproject.com/route/122980343/lonely-blues-picker,0.6020599913279624
Femboy Hooters (V1 3.0 2),The Magma Gardens,33.29875,-111.07289,https://www.mountainproject.com/route/120495406/femboy-hooters,0.3010299956639812
"Glory Hole (V6-7 3.0 2) 
 Project (V8-9 PG13 3.0 2) 
 Red Velvet (V3 3.0 2)",West Sanctuary,32.34923,-111.1653,https://www.mountainproject.com/route/114094605/glory-hole,0.3010299956639812
Gunpowder Milkshake (V5-6 PG13 3.0 3),Gunpowder Boulder,31.92244,-109.96894,https://www.mountainproject.com/route/121176720/gunpowder-milkshake,0.47712125471966244
Puma Prey (V9 3.0 4),E. Puma Prey Boulder,35.10251,-111.55895,https://www.mountainproject.com/route/119973314/puma-prey,0.6020599913279624
Wet n Wild (V4 2.9 7),Countertop,32.31471,-110.74271,https://www.mountainproject.com/route/118175813/wet-n-wild,0.8450980400142568
"Rocky Mountain Daydream (V5- PG13 2.8 4) 
 Red Ruby (V4 2.3 3)",The Big Roof,33.35769,-112.01084,https://www.mountainproject.com/route/107456261/rocky-mountain-daydream,0.6020599913279624
"Wood Grub (V4 3.0 3) 
 Elvis Crack (V1 3.0 3) 
 Dark Tranquility (V2 3.3 3)",2) Dragon Egg,35.2358,-111.61332,https://www.mountainproject.com/route/109978384/wood-grub,0.47712125471966244
The Casket Direct (V6 3.0 3),Casket Boulder,31.94223,-109.96856,https://www.mountainproject.com/route/120233309/the-casket-direct,0.47712125471966244
Five on It (V3-4 3.0 3),Luniz Boulder,33.33636,-112.02422,https://www.mountainproject.com/route/120120156/five-on-it,0.47712125471966244
What About Bob? (V4-5 3.2 6),What About Bob?,31.92679,-109.9696,https://www.mountainproject.com/route/120282320/what-about-bob,0.7781512503836436
Crater Skater (V3+ 3.0 4),Kidney Stone,31.93039,-109.9695,https://www.mountainproject.com/route/118342988/crater-skater,0.6020599913279624
House Cat (V4-5 3.0 3),House Cat,33.33694,-112.02068,https://www.mountainproject.com/route/119262538/house-cat,0.47712125471966244
Smell My Worm (V7 3.0 3),Smell My Worm Boulder,31.94261,-109.96776,https://www.mountainproject.com/route/120232360/smell-my-worm,0.47712125471966244
Campsite V3 (V3 3.0 4),Campsite Boulder,31.8744,-110.02196,https://www.mountainproject.com/route/116787501/campsite-v3,0.6020599913279624
"Duke's Line (V4- 2.7 10) 
 King's Line (V3 2.6 10)",Crown Boulder,33.34331,-112.01028,https://www.mountainproject.com/route/118341134/dukes-line,1.0
# 1 (V6-7 3.0 3),Schlotski Roof,35.07462,-111.6186,https://www.mountainproject.com/route/119003385/1,0.47712125471966244
"Assorted Goods (V0-1 2.4 25) 
 Two Trailer Park Girls (V1+ PG13 1.0 3)",Assorted Goods Boulder,33.68139,-112.04159,https://www.mountainproject.com/route/110519388/assorted-goods,1.3979400086720377
Pequod (V4 2.6 12),Moby Dick,33.34301,-112.01205,https://www.mountainproject.com/route/119212269/pequod,1.0791812460476249
"Sanctuary (V1 3.0 4) 
 RRMFP (Ray Ringle Memorial Face Problem) (V4 3.0 2)",Sanctuary Boulder,32.3497,-111.149,https://www.mountainproject.com/route/107557588/sanctuary,0.6020599913279624
Farmers Only (V3 3.0 5),Farmers Only,31.92613,-109.9692,https://www.mountainproject.com/route/120282253/farmers-only,0.6989700043360189
Lazer Salad (V1 PG13 2.8 6),The Pebbles,32.38224,-110.69157,https://www.mountainproject.com/route/120058913/lazer-salad,0.7781512503836436
Don't be a Gyro (V2 2.7 10),North Face,33.34376,-112.01062,https://www.mountainproject.com/route/118225168/dont-be-a-gyro,1.0
"Black Sails (V6 3.0 4) 
 Broken Symmetry (V11-12 3.0 1)",2) Broken Symmetry,35.23114,-111.60319,https://www.mountainproject.com/route/116066334/black-sails,0.6020599913279624
Signature Trim (V1 3.0 5),The Yard,31.88108,-110.02676,https://www.mountainproject.com/route/116183852/signature-trim,0.6989700043360189
"Sack Lunch (V6 2.5 6) 
 Lamb Chop (V7-8 3.0 5)",Lunch Boulder,31.91874,-109.96456,https://www.mountainproject.com/route/120235826/sack-lunch,0.7781512503836436
"North Face of Fire Pit Rock (V10 PG13 3.9 7) 
 West Face of Fire Pit (V1-2 3.3 8)",Fire Pit Rock Boulder,31.92299,-109.96784,https://www.mountainproject.com/route/106381856/north-face-of-fire-pit-rock,0.8450980400142568
Frosted Flakes (V0 2.4 16),Frosted Flake Boulder,33.68024,-112.04121,https://www.mountainproject.com/route/108096910/frosted-flakes,1.2041199826559248
The Pusher Man Arete (V6 2.7 8),Rat's Nest,32.21686,-111.11263,https://www.mountainproject.com/route/121449863/the-pusher-man-arete,0.9030899869919435
Eating Soap (V6 2.9 7),Red Bull and Bananas Boulder,33.34109,-112.01886,https://www.mountainproject.com/route/116815492/eating-soap,0.8450980400142568
Jibba Jabba (V2 2.8 9),Vista Boulder,32.40962,-110.70488,https://www.mountainproject.com/route/105988138/jibba-jabba,0.9542425094393249
Gatekeeper (V3 2.7 10),Entrance Boulders,33.33928,-112.01746,https://www.mountainproject.com/route/118988544/gatekeeper,1.0
Near Sighted (extended) (V2 3.0 5),Cyclops Corner,33.36287,-112.0291,https://www.mountainproject.com/route/111711685/near-sighted-extended,0.6989700043360189
Three Square Meals (V6 3.0 7),Breakfast Boulder,31.91992,-109.96491,https://www.mountainproject.com/route/121509076/three-square-meals,0.8450980400142568
The Arrowhead (V3+ 3.1 12),Creek Overhang (Arrowhead Boulder),32.42268,-110.75166,https://www.mountainproject.com/route/112390021/the-arrowhead,1.0791812460476249
Bittersweet (V3 2.8 10),Bittersweet Boulder,33.3452,-112.00882,https://www.mountainproject.com/route/120020652/bittersweet,1.0
The Incubator (V8 2.9 7),Goosehead,32.37483,-110.70448,https://www.mountainproject.com/route/112335016/the-incubator,0.8450980400142568
"Jonah (V4 2.8 13) 
 Orange Juice (V1 2.9 10)",The Jungle,32.361,-110.71635,https://www.mountainproject.com/route/117329060/jonah,1.1139433523068367
"Double Tap (V6 2.8 22) 
 Death By 1000 Papercuts (V10 3.0 3)",The Assassin's Cradle,32.42705,-110.75406,https://www.mountainproject.com/route/117554290/double-tap,1.3424226808222062
"Flaming Testicle (V3 3.1 11) 
 A Pinch and a Pocket (V4 3.3 4) 
 Flaming Testicle, Left (V2 2.8 8)",Western Bouldering Area,33.52083,-111.97165,https://www.mountainproject.com/route/110588855/flaming-testicle,1.0413926851582251
Checker Head (V1 2.9 17),Checker Head Boulder,31.92153,-109.96674,https://www.mountainproject.com/route/106396985/checker-head,1.2304489213782739
"Brimming with Black Cats (V11 3.2 5) 
 Wilford Brimley (V10 3.0 12) 
 Cardiac Arrest (V10 3.0 2)",Wilford Roof,32.31457,-110.74273,https://www.mountainproject.com/route/107968241/brimming-with-black-cats,0.6989700043360189
"Mother Lovebone (V4-5 3.3 4) 
 Mookie Blaylock (V3-4 2.8 10) 
 Fighting The Foo (V1 2.6 15) 
 The Show Must Go On (V1 2.5 15) 
 Jammin to the Pearl (V3-4 2.7 7)",The Arena Area Foo,33.34556,-112.00823,https://www.mountainproject.com/route/120408238/mother-lovebone,0.6020599913279624
"The Streaker (V4 3.2 11) 
 Tony's Problem (V6 3.0 3)",1) Skeletor Area,35.2296,-111.60399,https://www.mountainproject.com/route/115412853/the-streaker,1.0413926851582251
Road to Damascus (V8- 3.3 4),Felch Boulder / Mini Half-Dome,32.38219,-110.69151,https://www.mountainproject.com/route/119972128/road-to-damascus,0.6020599913279624
Awkward Prom Date (5.10a V1 R 3.0 6),P4 Boulder,33.73358,-111.86516,https://www.mountainproject.com/route/120188137/awkward-prom-date,0.7781512503836436
