Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Superfly,"(k) Superfly > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106034519/superfly,3.6,-1,Boulder,V4,1,,49.68175,-123.15137
"Easy in an Easy Chair","(n) Easy Chair > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106028730/easy-in-an-easy-chair,3.5,-1,Boulder,V4,1,,49.6808,-123.15225
"Summer Vacation","(g) Black Dyke > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107772738/summer-vacation,3.7,-1,Boulder,V0,1,22,49.68113,-123.15165
"Sloppy Poppy","(g) Black Dyke > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105857248/sloppy-poppy,3.3,-1,Boulder,V4,1,,49.68113,-123.15165
Titanic,"(c) Titanic North > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106028737/titanic,3.3,-1,Boulder,V3,1,,49.67934,-123.15323
"Trad Killer","(p) Heartbreak Hotel > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111594749/trad-killer,3.5,-1,Boulder,V4,1,,49.68263,-123.15031
"Fried Ant","(f) Viper > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108505773/fried-ant,3.2,-1,Boulder,V0,1,,49.68055,-123.15214
"Dyke Surfer","(n) Easy Chair > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108505822/dyke-surfer,2.9,-1,Boulder,V0,1,,49.6808,-123.15225
"Toilet Seat","Pigeon Spire > Bugaboos > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/113551862/toilet-seat,4.0,-1,"Aid, Boulder, Alpine","V-easy A0",1,3,50.7189,-116.785
"Black Mark","(d) Thighmaster > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/110745902/black-mark,3.0,-1,Boulder,V4,1,10,49.67959,-123.15312
Crackhead,"(i) Lip-Smack > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111519266/crackhead,3.7,-1,Boulder,V3,1,,49.68005,-123.15192
"Detached Flake","The Farm > North Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108506331/detached-flake,3.7,-1,Boulder,V1,1,,49.69408,-123.12676
"Old and Serious","(f) Viper > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/110708258/old-and-serious,3.6,-1,Boulder,V3,1,,49.68055,-123.15214
"Shots Fired","Apron Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106025695/shots-fired,3.4,-1,Boulder,V4,1,12,49.6865,-123.1481
"Heartbreak Hotel","(p) Heartbreak Hotel > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/112157919/heartbreak-hotel,3.5,-1,Boulder,V2,1,15,49.68263,-123.15031
"Cheese Grater","(g) Black Dyke > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108630456/cheese-grater,2.9,-1,Boulder,V1+,1,,49.68113,-123.15165
Slingshot,"(e) Survivor > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111647264/slingshot,3.7,-1,Boulder,V2,1,12,49.6796,-123.15276
"Squamish Days","(f) Viper > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108505709/squamish-days,2.6,-1,Boulder,V0,1,,49.68055,-123.15214
"The Mantis","(c) Titanic North > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108252343/the-mantis,2.7,-1,Boulder,V4,1,10,49.67934,-123.15323
"Super Fly Slab","(k) Superfly > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108505799/super-fly-slab,2.7,-1,Boulder,V0,1,,49.68175,-123.15137
"Bo Jo Jones","(g) Black Dyke > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/110881690/bo-jo-jones,3.3,-1,Boulder,V3,1,,49.68113,-123.15165
"Anatomy Lesson","(f) Viper > Grand Wall Boulders > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/110745942/anatomy-lesson,2.7,-1,Boulder,V3,1,10,49.68055,-123.15214
