Route,Location,Latitude,Longitude,URL
Superfly (V4 3.6 157) Super Fly Slab (V0 2.7 40) Stu's Fly (V2 2.8 23) Bronze Traverse (V0 3.0 2) Superfly Lunge (V4 2.3 8),(k) Superfly,49.68175,-123.15137,https://www.mountainproject.com/route/106034519/superfly
Easy in an Easy Chair (V4 3.5 135) Dyke Surfer (V0 2.9 64) Superdyke (V3+ 3.1 20) Practical horseman (V4 3.3 14) Largonian Bulge (V2 2.7 24) Any Rock'll Do (V1 2.7 19) Centre Slab (V3 3.5 2) Up From the Depths (V2 2.5 17) Palminator (V4 2.8 12) Seam Problem (V1 2.9 11) Brotherhood (V1 2.8 5) Backtrack (V2 2.5 4) Stud Arête (V0- 1.9 13) Power Surge (V2 2.1 8) Speech Therapy (V3 2.1 9) Starsky and Hutch (V0- 1.8 6),(n) Easy Chair,49.6808,-123.15225,https://www.mountainproject.com/route/106028730/easy-in-an-easy-chair
Summer Vacation (V0 3.7 77) Sloppy Poppy (V4 3.3 87) Cheese Grater (V1+ 2.9 54) Bo Jo Jones (V3 3.3 23) Skin Graft (V4 3.5 13) Double Decker (V3 2.5 22) Spotters on Strike (V0 R 2.8 4) Tea Bag Undies (V4 2.5 4) Bob Barker Cut My Dog's Nuts Off (V1 2.2 5) Peter's Crack (V0 2.0 4),(g) Black Dyke,49.68113,-123.15165,https://www.mountainproject.com/route/107772738/summer-vacation
Titanic (V3 3.3 142) The Mantis (V4 2.7 46) Twister (V1 2.5 35) Made in the Shade (V1 2.3 30) Titanic Dyno (V4 3.0 15) Shade Mantel (V3 2.3 18) Couch Surfer (V3 3.0 3) Surfin' on Heroin (V2 2.8 6) Shade Dyke (V0+ 2.2 19) Tumbleweed (V2 2.3 15) Stu's Dyke (V0 2.0 20) Big Bottoms (V2 2.2 13) Jer's Extension (V4 2.6 5) Dumb Slab (V0- 1.6 20) Steppin' Out (V0 2.0 2),(c) Titanic North,49.67934,-123.15323,https://www.mountainproject.com/route/106028737/titanic
Trad Killer (V4 3.5 75) Heartbreak Hotel (V2 3.5 43) Pocket Problem (V4 2.9 8) Memory Hotel (V2 2.5 8) Under the Staircase (V1 2.5 6) Atlas (V4 2.3 4),(p) Heartbreak Hotel,49.68263,-123.15031,https://www.mountainproject.com/route/111594749/trad-killer
Fried Ant (V0 3.2 58) Old and Serious (V3 3.6 42) Squamish Days (V0 2.6 47) Anatomy Lesson (V3 2.7 36) Left Rib (V2 3.4 21) American Gigalo (V3 3.0 27) Squamish Days Traverse (V2 2.6 28) Young and Furious (V3 2.7 9) White Bread (V1 2.4 10) Excavator (V4 2.3 4) The Dentist (V0 2.0 3) Poutine Cave (V3 1.8 6),(f) Viper,49.68055,-123.15214,https://www.mountainproject.com/route/108505773/fried-ant
Toilet Seat (V-easy A0 4.0 40),Pigeon Spire,50.7189,-116.785,https://www.mountainproject.com/route/113551862/toilet-seat
Black Mark (V4 3.0 61) Thighmaster (V4 2.5 21) Left Brain (V2 2.7 11) Bert and Ernie were just good friends (V3 3.0 2) Lowdown (V1 2.7 3) Choss-A-Block (V2 2.3 10) Black Dyno (V3 2.2 11) Adam's Apple (V1 1.7 13),(d) Thighmaster,49.67959,-123.15312,https://www.mountainproject.com/route/110745902/black-mark
Crackhead (V3 3.7 44) Hulkster's Humpfest (V2 2.7 33) Paperboy (V2 3.1 16) Crack Slabbath (V2 2.3 10) WWF Action (V3 2.4 5),(i) Lip-Smack,49.68005,-123.15192,https://www.mountainproject.com/route/111519266/crackhead
Detached Flake (V1 3.7 44) Rhino Face (V3 2.8 8) The Barrel (V0+ 2.0 2) Baby Beluga (V1- 2.0 2),The Farm,49.69408,-123.12676,https://www.mountainproject.com/route/108506331/detached-flake
Shots Fired (V4 3.4 45) Buns Up & Squealing (V4 3.3 4) Hydro Crack (V1 3.0 2) alien within (V3 2.5 4) the Sickle (V3 2.1 7) Constrictor (V1 2.3 4) Lizard Skull (V1 2.2 5) Venom Arête (V1 2.0 4) Hold On Or Be Gone (V3 2.0 2) Peters Face (V1 2.0 2),Apron Boulders,49.6865,-123.1481,https://www.mountainproject.com/route/106025695/shots-fired
Slingshot (V2 3.7 37),(e) Survivor,49.6796,-123.15276,https://www.mountainproject.com/route/111647264/slingshot
Tai Fighter (V4 3.6 17) Enchanted (V4 4.0 2),Enchanted boulders,49.83003,-123.14719,https://www.mountainproject.com/route/110937837/tai-fighter
In Your Face (V3 4.0 6) Peeler (V4 3.0 2) Moon Moves (V2 2.8 4) Sugar Cube Traverse (V0+ 2.7 3) Lucky Charms (V2 2.7 3) Kung Fu Grip (V3 2.5 2) Deadbeat Dudette (V4 2.5 2) Abbage Cabbage (V4 2.5 2) Little People (V2 2.3 3) G.I. Joe (V1 2.0 4) Deadbeat Dude (V4 2.0 2) Hollow Man (V0 2.0 2) NE Arete (V0 2.0 2) Sugar Mantle (V0 2.0 2),Yosemite Boulder,50.3174,-122.8038,https://www.mountainproject.com/route/106474903/in-your-face
Moby Dick (V1 R 4.0 5) Jenga (V4 3.5 4) Finger of God (V1 3.0 3) Cyclops (V0 3.0 2),Downhill Sectors: Tier 4,49.3521,-123.2288,https://www.mountainproject.com/route/106821878/moby-dick
Pale Face Direct (V1+ 3.8 9) Sleight of Foot (V3 3.1 10) Pale Face (V2 3.0 7) Slight of Pie (V4+ 2.8 5) Slight of Name (V1 2.3 7) Seamstress (V3-4 2.1 7),Pale Face,49.34949,-121.58175,https://www.mountainproject.com/route/106415894/pale-face-direct
Mini Blade (V4 3.8 9) Sling Blade (V4- 2.7 6) Blades of Steel (V2 2.0 2) Switchblade (V4 2.0 2),Mini Blade,49.34954,-121.58126,https://www.mountainproject.com/route/106735970/mini-blade
Grendel's Mother (V4 R 4.0 3),Grendal's Mother,49.34944,-121.58149,https://www.mountainproject.com/route/106468464/grendels-mother
