Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Star Chek","Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107104796/star-chek,3.5,-1,Sport,5.8+,3,400,49.924,-123.1675
[Redacted],"Forgotten Wall > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105959522/redacted,3.7,-1,Sport,5.11d,1,50,49.91054,-123.15621
"Local Boys Do Good","Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105918383/local-boys-do-good,3.6,-1,"Trad, Sport","5.10d PG13",3,350,49.66932,-123.15753
"Pleasant Pheasant","Petrifying Wall > Murrin Park > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105950090/pleasant-pheasant,3.6,-1,Sport,5.11a,1,80,49.6437,-123.2121
"Octopus Garden in the Shade","Octopus Garden > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105963366/octopus-garden-in-the-shade,3.3,-1,"Trad, TR",5.8,1,60,49.7081,-123.1346
"The Burglar","Lakeside in the Woods > Murrin Park > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108259519/the-burglar,3.6,-1,Sport,5.10c/d,1,80,49.6446,-123.2052
"Frontside 180","Electric Avenue > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/117387778/frontside-180,3.1,-1,Sport,5.7,10,720,49.90291,-123.16106
"Creepy Crawlers","Forgotten Wall > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107755928/creepy-crawlers,3.3,-1,Sport,5.11a,1,75,49.91054,-123.15621
Kigijiushi,"The Main Event > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106006012/kigijiushi,3.1,-1,Sport,5.10c,1,82,49.90478,-123.15582
"Plum Line","(b) Plum Wall > (a) The Fortress > Skaha > Okanagan > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106219155/plum-line,3.3,-1,Sport,"5.9 PG13",1,115,49.43577,-119.56764
Zoe,"Zoe > Murrin Park > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105910842/zoe,3.0,-1,Sport,5.10a,1,75,49.6445,-123.2081
"The Mutation","Toxic Lichen > Chek > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107199641/the-mutation,3.7,-1,Sport,5.11c,1,45,49.9072,-123.156
"Merci Me","Grand Wall Base Area > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106527466/merci-me,2.8,-1,Sport,"5.8 R",2,190,49.6827,-123.1482
"More Than Just A Pretty Face","Lakeside in the Woods > Murrin Park > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108259507/more-than-just-a-pretty-face,3.0,-1,Sport,5.10c,1,40,49.6446,-123.2052
"Over The Rainbow","The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106188258/over-the-rainbow,2.8,-1,"Trad, Sport",5.9+,7,600,49.6863,-123.14736
"Jeff and the Giant Reach","Zoe > Murrin Park > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105910852/jeff-and-the-giant-reach,3.5,-1,Sport,5.11c,1,75,49.6445,-123.2081
"Jugs, Not Drugs","The Milkman's Wall > Murrin Park > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108303905/jugs-not-drugs,2.8,-1,Sport,5.8,1,45,49.6458,-123.2052
"Burning Down the Couch","Petrifying Wall > Murrin Park > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106240353/burning-down-the-couch,3.9,-1,Sport,5.11d,1,120,49.6437,-123.2121
