Route,Location,Latitude,Longitude,URL
"Star Chek (5.8+ 3.5 299) (Sport 3 400.0) 
 Apollo 13 (5.10c/d 3.0 2) (Trad, Sport 3 nan)",Galaxy Buttress,49.924,-123.1675,https://www.mountainproject.com/route/107104796/star-chek
"[Redacted] (5.11d 3.7 108) (Sport 1 50.0) 
 Creepy Crawlers (5.11a 3.3 87) (Sport 1 75.0) 
 Low Impact (5.10a 2.6 108) (Sport 1 50.0) 
 The Incredible Journey (5.12a 3.7 35) (Sport 1 85.0) 
 The Voodoo That You Do (5.10b 2.5 58) (Sport 1 50.0) 
 The Boiler Room (5.12c 3.5 20) (Sport 1 nan) 
 Filth Infatuated (5.11c 2.9 20) (Sport 1 60.0) 
 Junkyard Patio (5.11a 2.4 30) (Sport 1 50.0) 
 From Beneath You It Devours (5.12b 2.9 18) (Sport 1 80.0) 
 Got Pull? (5.12a 2.9 16) (Sport 1 75.0) 
 Funkytown (5.12c 3.5 2) (Sport 1 nan) 
 Creeping Right (5.10d 2.2 26) (Sport 1 80.0) 
 Trunk Monkey (5.12a 3.0 9) (Sport 1 60.0) 
 Maximum Extreme Climb (5.11d 2.6 13) (Sport 1 80.0)",Forgotten Wall,49.91054,-123.15621,https://www.mountainproject.com/route/105959522/redacted
"Local Boys Do Good (5.10d PG13 3.6 92) (Trad, Sport 3 350.0) 
 No bolts (5.11a 2.7 32) (TR 1 90.0)",Shannon Falls Wall,49.66932,-123.15753,https://www.mountainproject.com/route/105918383/local-boys-do-good
"Pleasant Pheasant (5.11a 3.6 166) (Sport 1 80.0) 
 Burning Down the Couch (5.11d 3.9 58) (Sport 1 120.0) 
 Black Water (5.12a 3.9 57) (Sport 1 120.0) 
 No Name Road (5.11b 3.8 50) (Sport 1 120.0) 
 Heavy Petting Action (5.10b 2.6 52) (Sport 1 90.0) 
 Elastic Man (5.11c 3.5 30) (Sport 1 65.0) 
 The Flingus Cling (5.12b 3.4 27) (Sport 1 70.0) 
 Underwire (5.11a 2.7 30) (Sport 1 75.0) 
 Mata Hari (5.12d 4.0 2) (Sport 1 nan) 
 Food Frenzy (5.11b 2.9 24) (Sport 1 70.0) 
 A Cougar One Bite Brownie (5.10a 2.2 29) (Sport 1 100.0) 
 Animal (5.12c 3.3 4) (Sport 1 nan) 
 The Lost Art of Keeping A Secret (5.10c 2.6 11) (Sport 1 45.0) 
 Plumbline (5.12a 2.5 14) (Sport 1 60.0) 
 Air B.C. Direct (5.11d 3.0 2) (Sport 1 85.0) 
 Plumb Line (5.12a 3.0 2) (Sport 1 15.0) 
 Youth Gone Wild (5.12a 2.5 12) (Sport 1 50.0)",Petrifying Wall,49.6437,-123.2121,https://www.mountainproject.com/route/105950090/pleasant-pheasant
"Octopus Garden in the Shade (5.8 3.3 256) (Trad, TR 1 60.0) 
 Pipe Dream (5.8 2.5 80) (Trad, TR 1 60.0) 
 Leonissisation (5.12a 3.4 5) (Sport, TR 1 82.0)",Octopus Garden,49.7081,-123.1346,https://www.mountainproject.com/route/105963366/octopus-garden-in-the-shade
"The Burglar (5.10c/d 3.6 75) (Sport 1 80.0) 
 More Than Just A Pretty Face (5.10c 3.0 77) (Sport 1 40.0) 
 A Prince Among Thieves (5.12b 3.7 18) (Sport 1 85.0) 
 In the Doghouse (5.7 PG13 2.7 31) (Sport, TR 1 39.0) 
 Vorpal Sword (5.12d 4.0 4) (Sport 1 80.0) 
 A Bachelor's Life Memorial Arete (5.10 2.2 38) (Sport 1 40.0) 
 Fearless Fraser (5.11- 3.2 16) (Sport 1 60.0) 
 The Glass Slipper (5.10d 3.1 10) (Sport 1 50.0) 
 The Querculator (5.12a/b 3.0 8) (Sport 1 90.0) 
 Whiskers of the Observer (5.11c 3.0 3) (Sport 1 85.0)",Lakeside in the Woods,49.6446,-123.2052,https://www.mountainproject.com/route/108259519/the-burglar
"Frontside 180 (5.7 3.1 82) (Sport 10 720.0) 
 St. Elmo's Fire (5.8+ 3.5 28) (Sport 1 80.0) 
 The Heel Stone (5.10b 3.3 27) (Sport 1 60.0) 
 Railton Road (5.10a 2.8 31) (Sport 1 80.0) 
 The Torii Gate (5.10c 3.3 23) (Sport 1 42.0) 
 Darkness at Teatime (5.11a 3.3 15) (Sport 1 90.0) 
 Credulous Hedgehog (5.10d 2.9 14) (Sport 1 45.0) 
 Solstice Delirium (5.11b 3.2 5) (Sport 1 90.0) 
 Bolt from the Blue (5.9 2.5 20) (Sport 1 83.0) 
 Out in the Daytime (5.9 2.6 11) (Sport 1 67.0) 
 Minds of Winter (5.11a 2.6 13) (Sport 1 40.0) 
 Rock Down To (5.9 2.5 11) (Sport 1 65.0) 
 Uncontrolled Release (5.12a 3.0 2) (Sport 1 56.0)",Electric Avenue,49.90291,-123.16106,https://www.mountainproject.com/route/117387778/frontside-180
"Kigijiushi (5.10c 3.1 119) (Sport 1 82.0) 
 Dark Don't Lie (5.11a 2.6 54) (Sport 1 82.0) 
 Savage Beagle (5.10a 2.3 52) (Sport 1 60.0) 
 Cupola Rebuff (5.11b 3.1 13) (Sport 1 82.0)",The Main Event,49.90478,-123.15582,https://www.mountainproject.com/route/106006012/kigijiushi
"Plum Line (5.9 PG13 3.3 76) (Sport 1 115.0) 
 Stouthearted (5.10a 3.1 31) (Sport 1 115.0) 
 Sagging Bumline (5.9 2.4 21) (Sport 1 115.0)",(b) Plum Wall,49.43577,-119.56764,https://www.mountainproject.com/route/106219155/plum-line
"Zoe (5.10a 3.0 184) (Sport 1 75.0) 
 Jeff and the Giant Reach (5.11c 3.5 68) (Sport 1 75.0) 
 Oscar's Slab (5.8 1.6 71) (Sport 1 30.0) 
 Staples of the Gluten Intolerant (5.10b 2.5 32) (Sport 1 80.0) 
 Robin's Route (5.11b 2.7 14) (Sport 1 80.0)",Zoe,49.6445,-123.2081,https://www.mountainproject.com/route/105910842/zoe
