Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Breashear's Crack II","The Cube Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105755113/breashears-crack-ii,3.9,-1,Boulder,V3,1,19,39.65112,-105.18653
"The Millennium Falcon","Falcon Block > Main Area > Dynamite Shacks > Grand Junction Area > Colorado",https://www.mountainproject.com/route/106055084/the-millennium-falcon,3.7,-1,Boulder,V1,1,15,39.05158,-108.6059
"The Ladder","Bierstadt Area > Area A > Mt. Evans Bouldering > Mt. Evans > Alpine Rock > Colorado",https://www.mountainproject.com/route/106497744/the-ladder,3.6,-1,"Boulder, Alpine",V2,1,10,39.6326,-105.6211
"The Monkey Traverse","Monkey Traverse > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105761538/the-monkey-traverse,3.5,-1,Boulder,V4,1,50,40.00096,-105.29657
"Right Eliminator Prow","Eliminator Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751216/right-eliminator-prow,3.7,-1,Boulder,V4,1,,40.566,-105.1556
"Warm-Up Arete","Warm-Up Block Three > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113384340/warm-up-arete,3.4,-1,"Boulder, Alpine",V3,1,10,39.63356,-105.70929
"Big Overhang","Overhang Wall > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/106148252/big-overhang,3.6,-1,Boulder,V2,1,15,40.00321,-105.29743
"Guiding Light A.K.A Round Up","Work and Play Area > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106484362/guiding-light-aka-round-up,3.5,-1,Boulder,V3,1,15,39.63018,-105.34755
"Upper Y Traverse","Upper Y Traverse > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105812105/upper-y-traverse,3.3,-1,Boulder,V3+,1,40,40.00353,-105.29773
"Cloud Shadow Traverse","Cloud Shadow > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105749216/cloud-shadow-traverse,3.2,-1,Boulder,V4+,1,,40.00272,-105.29477
"Original Grapple","BBC Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105751345/original-grapple,3.2,-1,Boulder,V4-,1,,39.98899,-105.29117
"Wedgie aka The Cube Problem","Cube Boulder > South Side Area > Ute Valley Park > Colorado Springs > Colorado",https://www.mountainproject.com/route/105792449/wedgie-aka-the-cube-problem,3.3,-1,Boulder,V4,1,,38.912,-104.85682
"A7 -V1","A-7 Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105752380/a7-v1,3.2,-1,Boulder,V1-2,1,,39.9889,-105.29091
"The Consideration","Cloud Shadow > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105754807/the-consideration,3.1,-1,Boulder,V4,1,,40.00272,-105.29477
"Breashears' Crack","The Black Hole > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105755029/breashears-crack,3.1,-1,Boulder,V2,1,,39.65276,-105.18641
Y-Right,"Upper Y Traverse > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/106018349/y-right,3.1,-1,Boulder,"V1 R",1,20,40.00353,-105.29773
"Dihedral Problem","Trailside Egg > The Eggs > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106257778/dihedral-problem,3.0,-1,Boulder,V2,1,10,39.62964,-105.34446
"Penny Pincher","Pitch Penny Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105755050/penny-pincher,3.1,-1,Boulder,V3+,1,,40.5671,-105.15625
"North Dihedral","The Gill Boulder > Eldorado Canyon Bouldering > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105992471/north-dihedral,3.0,-1,Boulder,V1,1,20,39.93105,-105.29186
"Right Eliminator","Eliminator Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751213/right-eliminator,3.0,-1,Boulder,V4-,1,,40.566,-105.1556
"The Pillar","Jim Hall Boulder > The Dark Side > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/107514862/the-pillar,3.0,-1,Boulder,V2,1,,40.00311,-105.29459
"Southwest Prow","Beer Barrel Boulder > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105749257/southwest-prow,3.0,-1,Boulder,V0,1,,40.00111,-105.29705
"Potato Chip Layback","The Potato Chip Boulder > Lower Chaos Canyon > Chaos Canyon Bouldering > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/106851602/potato-chip-layback,3.0,-1,"Boulder, Alpine",V3,1,15,40.30493,-105.65957
"Trailside Problem","Main Warm-Ups > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113386899/trailside-problem,2.9,-1,"Boulder, Alpine",V4,1,8,39.63555,-105.70926
"Flint Lock","Pirate's Cove > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106444271/flint-lock,2.9,-1,Boulder,V4,1,8,39.6267,-105.3587
"Bolt Wall","South Ridgeline, including Cat's Eye Face & Bolt Wall > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105761832/bolt-wall,3.3,-1,"TR, Boulder","V1- X",1,40,40.56575,-105.1553
"In the Beginning","The Cube Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105999202/in-the-beginning,2.9,-1,Boulder,V1,1,13,39.65112,-105.18653
"Sputnik One","Sputnik Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105757156/sputnik-one,2.9,-1,Boulder,V1,1,,39.98948,-105.29028
"The Seam","The Spice Roof > Carter Lake > Fort Collins > Colorado",https://www.mountainproject.com/route/106066606/the-seam,3.2,-1,Boulder,V2,1,,40.32189,-105.21337
"Mental Standard","Mental Block > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751264/mental-standard,3.8,-1,Boulder,V4,1,,40.5668,-105.1559
"My Two Cents (aka Penny Standard)","Pitch Penny Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/106155638/my-two-cents-aka-penny-standard,2.8,-1,Boulder,V2,1,,40.5671,-105.15625
"Chalk Block","Warm-Up Block Two > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113383600/chalk-block,2.8,-1,"Boulder, Alpine",V2,1,8,39.63364,-105.70949
"Bird Hole Right","Big East Block > Bouldering > Turtle Lake > Durango > Colorado",https://www.mountainproject.com/route/106472288/bird-hole-right,3.4,-1,Boulder,V3,1,16,37.33289,-107.88312
Slots,"Warm-up Traverse Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106042265/slots,2.8,-1,Boulder,V4+,1,10,39.65102,-105.1866
"Sit Starts Matter","Main Warm-Ups > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113386821/sit-starts-matter,2.8,-1,"Boulder, Alpine",V3,1,8,39.63555,-105.70926
