Route,Location,Latitude,Longitude,URL,votes_most_log
Swing Low (V2 2.8 9),General Relativity Boulder,38.8905,-108.5042,https://www.mountainproject.com/route/107129595/swing-low,0.9542425094393249
Left Plethora 2 (V4 2.8 9),Plethora Boulder (Left Gonad),38.92885,-108.49069,https://www.mountainproject.com/route/106088167/left-plethora-2,0.9542425094393249
Corner Crack (V0 2.8 9),Parking Lot Wall (Arthur's Rock),40.56424,-105.1773,https://www.mountainproject.com/route/107498927/corner-crack,0.9542425094393249
Front and Center (V1 2.8 9),Warm-Up Boulder,38.75952,-106.07617,https://www.mountainproject.com/route/112124414/front-and-center,0.9542425094393249
"Small Wigs (V4+ 3.0 5) 
 Huat Hueco? (V0 3.0 5)",The Beach,38.50321,-106.96302,https://www.mountainproject.com/route/106768321/small-wigs,0.6989700043360189
Bull's Eye (V2+ 3.0 5),Toe Jam Boulder,39.05134,-108.60607,https://www.mountainproject.com/route/109703385/bulls-eye,0.6989700043360189
Sky's the Limit (V4 3.0 5),Should've Stopped Boulder,37.3077,-107.87045,https://www.mountainproject.com/route/110245834/skys-the-limit,0.6989700043360189
Inflammation Station (V3 3.0 5),Dependent Boulders,39.12561,-106.66893,https://www.mountainproject.com/route/110736813/inflammation-station,0.6989700043360189
Praying Mantel (V1 3.0 5),Belly Flop Boulder,39.07399,-108.64609,https://www.mountainproject.com/route/107580027/praying-mantel,0.6989700043360189
Enter the Hold (V3 3.0 5),Haberdasher Boulder,38.95126,-108.47688,https://www.mountainproject.com/route/113484643/enter-the-hold,0.6989700043360189
The Blade (V2+ 3.0 5),Spearhead Boulder,38.76224,-106.076,https://www.mountainproject.com/route/112124211/the-blade,0.6989700043360189
Tear in the Sail (V3 3.0 6),The Sail Boulder,40.52795,-105.15706,https://www.mountainproject.com/route/116177648/tear-in-the-sail,0.7781512503836436
Separation Anxiety (V4 3.0 5),"Big, Gigantic Boulder",39.35744,-104.76966,https://www.mountainproject.com/route/116188096/separation-anxiety,0.6989700043360189
Proper English (V2- 3.0 5),Schoolyard Area,39.65024,-105.1871,https://www.mountainproject.com/route/105852843/proper-english,0.6989700043360189
Green Energy Traverse (V4 2.8 12),Mezzanine,39.6543,-105.18802,https://www.mountainproject.com/route/106330509/green-energy-traverse,1.0791812460476249
Crock Arete (V4- 2.7 11),Call it Crock Rock,40.32097,-105.21388,https://www.mountainproject.com/route/106359096/crock-arete,1.041392685158225
V-block (V0 2.2 22),Ridge Gap Wall,40.02376,-105.29868,https://www.mountainproject.com/route/105924061/v-block,1.3424226808222062
"Schrodinger's Cat (V2+ 2.5 15) 
 Superradiance (V4 2.8 9)",Quantum Boulder,37.31154,-107.88843,https://www.mountainproject.com/route/118147036/schrodingers-cat,1.1760912590556813
Boom Boom (V3 3.0 7),Zevon Boulder,38.89565,-108.50787,https://www.mountainproject.com/route/107896771/boom-boom,0.8450980400142568
V0 crack (V0 2.8 10),Trail Boulder,39.60812,-105.91813,https://www.mountainproject.com/route/106902551/v0-crack,1.0
Broken Corner (V2 3.0 6),Broken Boulder,38.9416,-108.4845,https://www.mountainproject.com/route/107810215/broken-corner,0.7781512503836436
Practice Hand Crack (V1 3.0 6),Buildering,38.5444,-106.9267,https://www.mountainproject.com/route/107621729/practice-hand-crack,0.7781512503836436
Right Side Highball (V1 PG13 3.0 6),Erasable Boulder Complex,39.99985,-105.2954,https://www.mountainproject.com/route/110493371/right-side-highball,0.7781512503836436
Double Rail Experiment (V3 3.0 6),Dord Rock,38.91961,-108.49388,https://www.mountainproject.com/route/112065309/double-rail-experiment,0.7781512503836436
Scaling the Scalene (V1 3.0 6),Triangle Boulder,38.92462,-108.49282,https://www.mountainproject.com/route/114156785/scaling-the-scalene,0.7781512503836436
"Party Trick (V3-4 2.8 10) 
 V2 (V2 PG13 3.0 5)",Natural Apparatus Boulder,39.9456,-105.34745,https://www.mountainproject.com/route/107730603/party-trick,1.0
Sunny Side Up (V3- 3.0 6),The Breakfast Boulder,37.61649,-106.6727,https://www.mountainproject.com/route/118751164/sunny-side-up,0.7781512503836436
Vaguely Dog-like Creature (V4-5 3.0 6),Turtle Rocks Camping Area,38.88119,-106.14749,https://www.mountainproject.com/route/113755271/vaguely-dog-like-creature,0.7781512503836436
Bobcat Arete (V3 3.0 6),Pop Rock,39.99065,-105.42067,https://www.mountainproject.com/route/106479058/bobcat-arete,0.7781512503836436
Man Overboard (V3 3.0 6),Main Boulder aka The Wedge,38.91195,-104.85685,https://www.mountainproject.com/route/114102518/man-overboard,0.7781512503836436
"The Scoop (V1 2.6 14) 
 The Island (V0 3.0 5)",Swan Mountain Road,39.59942,-106.03609,https://www.mountainproject.com/route/106783091/the-scoop,1.146128035678238
