Route,Location,Latitude,Longitude,URL,votes_most_log
White Rastafarian (V2 R 3.9 239),White Rastafarian Boulder,34.02073,-116.16212,https://www.mountainproject.com/route/105722593/white-rastafarian,2.3783979009481375
"Slashface (V3 R 3.9 111) 
 Slashdance (V3 2.3 6)",Slash Boulder,33.95344,-116.08706,https://www.mountainproject.com/route/105722755/slashface,2.0453229787866576
Pigpen (V4 3.9 178),Pigpen Boulder,34.0153,-116.15811,https://www.mountainproject.com/route/105722992/pigpen,2.250420002308894
"Gunsmoke (V3 3.7 422) 
 JD Classic (V2 4.0 1) 
 Corner Problem (V0 2.3 25) 
 The Sloth (V2 3.2 5) 
 Ledge Problem (V0+ 2.0 1)",Gunsmoke Wall,34.02858,-116.14508,https://www.mountainproject.com/route/105722350/gunsmoke,2.625312450961674
"Stem Gem (V4 3.8 194) 
 Slam Dunk (V3 2.8 5) 
 There Will Be Piss (V2 2.0 4)",Stem Gem Boulder,34.01716,-116.16368,https://www.mountainproject.com/route/105722608/stem-gem,2.287801729930226
"Fry Problem (V2 3.7 154) 
 Spud Crack (V-easy 1.8 42) 
 Spud Fry (V3 3.3 3) 
 Cornpone (V0+ 1.5 14) 
 Leap in Faith (V3 2.0 2)",Fry Boulder,33.98831,-116.15795,https://www.mountainproject.com/route/106039374/fry-problem,2.187520720836463
"False Up 20 (V0- 3.6 193) 
 Descent Route (V-easy 2.3 51)",False Up 20 Boulder,34.01513,-116.16605,https://www.mountainproject.com/route/105725461/false-up-20,2.285557309007774
"Saturday Night Live (V4 3.6 152) 
 Night Sprawler (V1 4.0 2) 
 Night Train (V2 1.8 9) 
 Night Crawler (V0+ 1.8 7)",Saturday Night Live Boulder,34.01167,-116.16855,https://www.mountainproject.com/route/105723517/saturday-night-live,2.1818435879447726
The Chube (V2 3.4 334),Chube Boulder,34.02838,-116.14524,https://www.mountainproject.com/route/105724441/the-chube,2.5237464668115646
"Sloper Safari (V4 3.3 205) 
 Way of the Weasel (V2-3 2.4 31) 
 Slapslope (V4 2.3 25) 
 Mulligan Slab (V4 2.4 7) 
 Young Plates (V1 PG13 2.5 2) 
 Thin Black Dike (V3 1.8 5) 
 Browning Slab (V2 1.5 4)",Meadows Boulder,33.99418,-116.14301,https://www.mountainproject.com/route/106329025/sloper-safari,2.311753861055754
"Hobbit Hole Offwidth (V0 3.2 155) 
 Patina (V2 2.3 12)",Hobbit Hole Boulder,34.0229,-116.16414,https://www.mountainproject.com/route/106072721/hobbit-hole-offwidth,2.1903316981702914
"Roof Romp (V4 3.1 238) 
 Flake Direct (V2+ 2.4 29) 
 Reverse Romp (V4+ 3.0 2)",Romp Roof,34.02174,-116.16332,https://www.mountainproject.com/route/105837898/roof-romp,2.376576957056512
Aiguille de Joshua Tree (aka The Finger of Hercules) (5.5 V0 X 3.0 172),Aiguille de Joshua Tree,34.01514,-116.17858,https://www.mountainproject.com/route/105721981/aiguille-de-joshua-tree-aka-the-finger-of-hercules,2.2355284469075487
"Illicit Sweetie (V0 3.0 196) 
 Sweetie Pie (Dragon Scales) (V-easy 2.8 163) 
 Sweetielicious (V0- 2.4 81) 
 The Nicola (Mulligan Mantle) (V3-4 2.6 9) 
 X Offender (V2 2.1 14)",Illicit Sweetie Boulder,33.99802,-116.15351,https://www.mountainproject.com/route/105798054/illicit-sweetie,2.292256071356476
"False Hueco Traverse (V2 3.0 287) 
 False Hueco (V1 2.7 234) 
 Torquemeister (V4- 2.1 50) 
 Anti-hueco (V4 2.7 13) 
 Problem A (V4+ 2.4 9) 
 In Through The Outdoor (V3+ 2.0 6) 
 Problem B (V4 1.8 6)",False Hueco Boulder,34.01912,-116.16529,https://www.mountainproject.com/route/106048290/false-hueco-traverse,2.4578818967339924
"Yabo Roof (V3 3.0 161) 
 Unnamed v4 (V4 2.3 3) 
 Unnamed Problem (V3 1.9 12) 
 One Man Tribe (V4 2.0 2) 
 Unnamed (V0 1.5 6)",Yabo Roof Area,34.01468,-116.1658,https://www.mountainproject.com/route/106039628/yabo-roof,2.2068258760318495
"Pinhead (5.8+ V0 2.9 297) 
 Holenoid (aka The Grundle from Down Under) (V0+ 2.3 130) 
 Pinhead Traverse (5.4 V-easy 1.7 92) 
 Zippy the Pinhead (V0+ 2.1 74) 
 Paddler (V-easy 1.6 64) 
 Holenoid Right Side (V1- 1.9 12)",Pinhead Boulder,34.01999,-116.16161,https://www.mountainproject.com/route/105722209/pinhead,2.4727564493172123
Yabba Dabba Don't (V3 2.9 165),Yabba Dabba Don't Boulder,34.01968,-116.16583,https://www.mountainproject.com/route/106066269/yabba-dabba-dont,2.2174839442139063
"Classic Thin Crack (V2 3.0 80) 
 Afterthought (V0 1.5 4)",Classic Thin Crack Boulder,34.02534,-116.15881,https://www.mountainproject.com/route/106069406/classic-thin-crack,1.9030899869919435
Hobbit Roof (5.10d V1- 2.8 353),The Blob - West Face,34.01799,-116.16431,https://www.mountainproject.com/route/105722200/hobbit-roof,2.5477747053878224
"Undertow (V3 2.8 91) 
 The Boxer Problem (V2 2.5 143) 
 Fishbait (V1 2.0 69) 
 Off Camber (V4 3.0 39) 
 Scuttlebutt (V1 2.1 47) 
 Right Arete (V0- 1.6 54) 
 Grunge (V0 1.9 46) 
 Out of Touch (V2+ 2.4 34) 
 Xylophone (V2 2.0 27) 
 Manx (V-easy 1.9 23) 
 Crankcase (V3 1.8 16)",Manx Boulders - Northwest Face,34.01431,-116.15814,https://www.mountainproject.com/route/105908399/undertow,1.9590413923210936
"Little Chucky (V4 2.8 162) 
 Chuckawalla (V1 2.5 142) 
 Flintlock Dyno (V0 2.0 147) 
 Big Lizard in my Backyard (V-easy 1.5 39) 
 Chuckawalla Roast (V1+ 2.3 19) 
 Medium Chuckie (V4 2.4 10) 
 Celebration of the Lizard (V0 1.8 8)",Chuckawalla Boulder,34.02056,-116.16505,https://www.mountainproject.com/route/107934846/little-chucky,2.2095150145426308
"The Womb (V-easy 2.7 101) 
 At Your Cervix (V-easy 2.5 2)",The Womb,34.01398,-116.16039,https://www.mountainproject.com/route/106051737/the-womb,2.0043213737826426
"Not So Thin Lizzie (V3 2.7 110) 
 Heat Stroke (V0+ 1.6 12) 
 The Easy Way (V3 1.0 2)",Lizzie Boulder,34.0202,-116.165,https://www.mountainproject.com/route/105725713/not-so-thin-lizzie,2.041392685158225
