Route,Location,Latitude,Longitude,URL
White Rastafarian (V2 R 3.9 220),White Rastafarian Boulder,34.02073,-116.16212,https://www.mountainproject.com/route/105722593/white-rastafarian
Slashface (V3 R 3.9 109),Slash Boulder,33.95344,-116.08706,https://www.mountainproject.com/route/105722755/slashface
Pigpen (V4 3.9 163),Pigpen Boulder,34.0153,-116.15811,https://www.mountainproject.com/route/105722992/pigpen
"Gunsmoke (V3 3.7 402) 
 Corner Problem (V0 2.3 24)",Gunsmoke Wall,34.02858,-116.14508,https://www.mountainproject.com/route/105722350/gunsmoke
Stem Gem (V4 3.8 170),Stem Gem Boulder,34.01716,-116.16368,https://www.mountainproject.com/route/105722608/stem-gem
"Fry Problem (V2 3.7 144) 
 Spud Crack (V-easy 1.8 39) 
 Cornpone (V0+ 1.5 14)",Fry Boulder,33.98831,-116.15795,https://www.mountainproject.com/route/106039374/fry-problem
"False Up 20 (V0- 3.6 181) 
 Descent Route (V-easy 2.3 47)",False Up 20 Boulder,34.01513,-116.16605,https://www.mountainproject.com/route/105725461/false-up-20
Saturday Night Live (V4 3.6 137),Saturday Night Live Boulder,34.01167,-116.16855,https://www.mountainproject.com/route/105723517/saturday-night-live
The Chube (V2 3.4 307),Chube Boulder,34.02838,-116.14524,https://www.mountainproject.com/route/105724441/the-chube
"Sloper Safari (V4 3.3 186) 
 Way of the Weasel (V2-3 2.4 30) 
 Slapslope (V4 2.3 22)",Meadows Boulder,33.99418,-116.14301,https://www.mountainproject.com/route/106329025/sloper-safari
"Hobbit Hole Offwidth (V0 3.2 143) 
 Patina (V2 2.3 12)",Hobbit Hole Boulder,34.0229,-116.16414,https://www.mountainproject.com/route/106072721/hobbit-hole-offwidth
"Roof Romp (V4 3.1 216) 
 Flake Direct (V2+ 2.4 28)",Romp Roof,34.02174,-116.16332,https://www.mountainproject.com/route/105837898/roof-romp
Aiguille de Joshua Tree (aka The Finger of Hercules) (5.5 V0 X 3.0 167),Aiguille de Joshua Tree,34.01514,-116.17858,https://www.mountainproject.com/route/105721981/aiguille-de-joshua-tree-aka-the-finger-of-hercules
"Illicit Sweetie (V0 3.0 182) 
 Sweetie Pie (Dragon Scales) (V-easy 2.8 145) 
 Sweetielicious (V0- 2.4 71) 
 X Offender (V2 2.1 14)",Illicit Sweetie Boulder,33.99802,-116.15351,https://www.mountainproject.com/route/105798054/illicit-sweetie
"False Hueco Traverse (V2 3.0 265) 
 False Hueco (V1 2.7 209) 
 Torquemeister (V4- 2.1 42) 
 Anti-hueco (V4 2.7 13)",False Hueco Boulder,34.01912,-116.16529,https://www.mountainproject.com/route/106048290/false-hueco-traverse
"Yabo Roof (V3 3.0 146) 
 Unnamed Problem (V3 1.9 11)",Yabo Roof Area,34.01468,-116.1658,https://www.mountainproject.com/route/106039628/yabo-roof
