Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Fang (Low Start)","X5 Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/109637318/the-fang-low-start,3.7,-1,Boulder,V4-5,1,12,34.34074,-118.01659
"Spiral Traverse","Spiral Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105955307/spiral-traverse,3.5,-1,Boulder,V1,1,50,34.27029,-118.60303
"The Crack","B1 Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105982694/the-crack,3.4,-1,Boulder,V3+,1,15,34.2692,-118.6036
"Thin Crack","Thin Crack Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/105998242/thin-crack,3.2,-1,Boulder,V0,1,20,34.34066,-118.01587
"The Fang","X5 Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/106161132/the-fang,3.2,-1,Boulder,V3,1,20,34.34074,-118.01659
"Leaping Lizards","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106074256/leaping-lizards,3.1,-1,Boulder,V3,1,15,34.2698,-118.6056
"Hoof and Mouth","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105884461/hoof-and-mouth,3.1,-1,Boulder,V1,1,15,34.2692,-118.6037
"Critter Crack","Canyon Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105962086/critter-crack,3.1,-1,Boulder,V0,1,20,34.27152,-118.60341
"Three Pigs","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105870999/three-pigs,2.9,-1,Boulder,V0,1,15,34.2698,-118.6056
"Swiss Cheese","Swiss Cheese Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/106410557/swiss-cheese,2.8,-1,Boulder,V2,1,10,34.34038,-118.01602
"Thin Face","B1 Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/107327743/thin-face,2.9,-1,Boulder,V2,1,15,34.3406,-118.01595
"The Nose","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106576767/the-nose,2.7,-1,Boulder,V-easy,1,15,34.2698,-118.6056
"Pile Lieback","Pile Ups > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105873684/pile-lieback,2.7,-1,Boulder,V2,1,15,34.26915,-118.60472
"Gomer Pile","Pile Ups > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105873886/gomer-pile,2.9,-1,Boulder,V4-,1,15,34.26915,-118.60472
Slime,"Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105966603/slime,2.7,-1,Boulder,V1,1,,34.2692,-118.6037
"Amphitheater (aka Todd's) Traverse","Amphitheater > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105894592/amphitheater-aka-todds-traverse,2.8,-1,Boulder,V0,1,50,34.26953,-118.60451
"Boot Flake","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105871004/boot-flake,3.2,-1,Boulder,V2,1,20,34.2698,-118.6056
"Pump Traverse","Pump Rock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/107173630/pump-traverse,2.9,-1,Boulder,V1,1,,34.26995,-118.60561
"Not Even","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106762637/not-even,2.9,-1,Boulder,V2,1,20,33.5947,-117.87816
