Route,Location,Latitude,Longitude,URL
"The Fang (Low Start) (V4-5 3.7 77) 
 The Fang (V3 3.2 82) 
 The Gums (V3 2.0 2) 
 The Fang Left (V3+ 2.0 2)",X5 Boulder,34.34074,-118.01659,https://www.mountainproject.com/route/109637318/the-fang-low-start
"Spiral Traverse (V1 3.5 122) 
 Spiral Direct (V0+ 2.5 48) 
 Chouinard's Slab (V-easy 2.2 48) 
 Spiral Low Traverse (V2 3.0 5) 
 Borealis (V0- 1.5 12) 
 Unnamed (V0 1.1 8)",Spiral Boulder,34.27029,-118.60303,https://www.mountainproject.com/route/105955307/spiral-traverse
"The Crack (V3+ 3.4 131) 
 Hog Tied (V1 R 2.8 40) 
 The Corner (V0 2.1 40) 
 Two Scoops (V2 2.6 20) 
 E.L.P. (V4 2.7 9) 
 The Ear (V3-4 2.8 4)",B1 Boulder,34.2692,-118.6036,https://www.mountainproject.com/route/105982694/the-crack
Thin Crack (V0 3.2 103),Thin Crack Boulder,34.34066,-118.01587,https://www.mountainproject.com/route/105998242/thin-crack
"Leaping Lizards (V3 3.1 99) 
 Three Pigs (V0 2.9 219) 
 The Nose (V-easy 2.7 119) 
 Boot Flake (V2 3.2 67) 
 West Arete (5.6 V-easy 2.1 71) 
 South East Corner (The Corner) (V2 2.5 63) 
 Vivarin (V-easy 2.4 55) 
 10-40 (V1 2.2 51) 
 Endo Boy (V3 3.0 25) 
 Short Story (5.7 V-easy PG13 2.6 33) 
 Nose Eliminate (V0 2.4 36) 
 Boulder 1 Traverse (V3 3.0 23) 
 Boot Flake Direct Dyno (V2+ 3.4 9) 
 Nylon Boy (V1 2.6 26) 
 East Face Route (5.1 V-easy 1.6 36) 
 Dihedral Left (5.9 V0 2.0 26) 
 Undercling (V0-1 1.9 26) 
 Yabo Mantle (V4 2.7 3) 
 No Pigs (V2 2.2 5) 
 One Pig (V1 2.0 8)",Boulder 1,34.2698,-118.6056,https://www.mountainproject.com/route/106074256/leaping-lizards
"Hoof and Mouth (V1 3.1 91) 
 Slime (V1 2.7 88) 
 Yabo Roof (V2+ 3.7 37) 
 Pliers (V2 2.9 49) 
 The Corner (V2 3.2 37) 
 North Flake (V-easy 2.4 48) 
 Crystal Ball Mantel (V4-5 3.8 19) 
 The Flake (5.8 V0 2.6 41) 
 Untold Story (5.8 V0 2.4 44) 
 North Face (V0- 2.6 39) 
 The Bulge (V1 2.7 25) 
 Potholes (Left Start) (5.9 V0 2.4 26) 
 Potholes (Right Start) (5.7 V-easy 2.6 20) 
 Turlock Face (5.9 V0 2.2 26) 
 Ramada (V0 2.3 24) 
 Silent Running (5.9+ V0 2.4 18) 
 The Real Bulge (V4 3.0 2) 
 Potholes (Center Start) (5.8 V0 2.2 18) 
 Crowd Teaser (V0 2.3 16) 
 Turlock Eliminate (V0 2.0 11) 
 Face Eliminate (V0 1.9 11) 
 The Stairs (V-easy 1.5 8)",Turlock,34.2692,-118.6037,https://www.mountainproject.com/route/105884461/hoof-and-mouth
"Critter Crack (V0 3.1 79) 
 Kodas' Corner (V3 3.9 48) 
 Pan Cake (V2-3 2.7 67) 
 Mantlelobotomy (V1+ 2.7 44) 
 Scorpion (V2 2.6 34) 
 Scrambled Eggs (V3+ 3.1 20) 
 Hedge Clipper (aka Spooky) (V1 R 2.8 21) 
 Easy Face (V-easy 2.0 25) 
 Arete with no Name (V0 2.2 19) 
 Earthquake Problem (V0 R 2.8 5) 
 Face with no Name (V0 2.4 11) 
 Smokey Bear (V1 2.0 11) 
 Easy Arete (V-easy 1.5 6) 
 Puggie So What? (V-easy 1.2 9) 
 Flake to Nowhere (V2 1.3 3)",Canyon Boulders,34.27152,-118.60341,https://www.mountainproject.com/route/105962086/critter-crack
"Swiss Cheese (V2 2.8 93) 
 unnamed V0+ (V0+ 2.4 20) 
 Passat (V1+ 2.4 10)",Swiss Cheese Boulder,34.34038,-118.01602,https://www.mountainproject.com/route/106410557/swiss-cheese
"Thin Face (V2 2.9 76) 
 B1 Traverse (V4 3.1 64) 
 Untitled (V0 2.0 34) 
 Unnamed (V1 PG13 2.5 15) 
 Unnamed (V0 2.0 6)",B1 Boulder,34.3406,-118.01595,https://www.mountainproject.com/route/107327743/thin-face
"Pile Lieback (V2 2.7 94) 
 Gomer Pile (V4- 2.9 76) 
 Pile Driver (5.11 V3 2.1 56) 
 Pile Ups Lip Traverse (V2+ 2.4 34) 
 Quotation Marks (V-easy 1.8 16) 
 Gray's Peak (V-easy 1.3 8)",Pile Ups,34.26915,-118.60472,https://www.mountainproject.com/route/105873684/pile-lieback
Amphitheater (aka Todd's) Traverse (V0 2.8 76),Amphitheater,34.26953,-118.60451,https://www.mountainproject.com/route/105894592/amphitheater-aka-todds-traverse
"Pump Traverse (V1 2.9 72) 
 Pump Arete (V1 2.1 24) 
 North Face Mantle (V0 2.3 3) 
 True Mantle (V0 2.0 9) 
 Eliminate (5.8- V-easy 1.9 10) 
 Slump Arete (V0 1.5 10)",Pump Rock,34.26995,-118.60561,https://www.mountainproject.com/route/107173630/pump-traverse
"Not Even (V2 2.9 69) 
 Iron Man (V3 3.4 59) 
 Diamond Man (V4 3.7 22) 
 Italian Fall (V3 2.6 43) 
 Tin Man (V0+ 2.5 44) 
 Onion Man (V1 2.5 36) 
 The Hinge (5.9+ V0 2.4 33) 
 Ecto the Collector (V4 3.6 8) 
 Pin Scar Direct (V2-3 2.7 27) 
 Not Even Chips (and reverse) (V3- PG13 2.6 26) 
 Chips Ahoy (V4-5 2.9 16) 
 Shark's Tooth (V4 3.1 12) 
 Crystal Clear (V2 2.3 25) 
 Lieback (5.7 V-easy 1.9 33) 
 Little Ricky (V2 3.1 7) 
 Anabel (V4+ 2.8 13) 
 Hinge Direct (V4 2.5 16) 
 Nowhere Man (V3-4 3.0 4) 
 Wet Toes (V1-2 3.0 2) 
 Poodle Press (V4 2.6 10) 
 Faith (V4+ 2.4 12) 
 Pin Scar (V0 2.1 17) 
 Fale Problem (V0 PG13 2.1 15) 
 Hinge Indirect (V0 2.2 13) 
 Baby Ricky (5.8 V-easy 1.6 22) 
 Green Burrito (V1 2.1 12) 
 Gather Up (V0+ 1.9 15) 
 Pin Hole (V0 PG13 2.0 13) 
 My Dog Ringo. (V2 2.5 2) 
 The Layback (5.8 V-easy 1.6 19) 
 Big Ricky (V4 2.3 3) 
 Diamond Man Dyno (V1 1.9 10) 
 Knob City (5.8 V-easy 1.7 13) 
 Head Above the Stairs (V1 R 1.6 14) 
 C.F.'s Edge Crank (V2 PG13 1.9 8) 
 Jelly bean (V1 2.0 2) 
 The Shelf (V0 1.7 7) 
 High Over Beached Whales (V0+ 1.4 7) 
 Courtney's side (V1+ PG13 1.5 2) 
 Dave's Problem (V0- 1.2 6) 
 Sand Gully (V1 1.0 2)",Pirate's Cove (aka The Beach or Corona Del Mar),33.5947,-117.87816,https://www.mountainproject.com/route/106762637/not-even
"Johnson Arete (V4 3.1 57) 
 Vaino Problem (V4 2.5 25)",Split Rock,34.27052,-118.60285,https://www.mountainproject.com/route/106108267/johnson-arete
"Maggie's Traverse (V1 3.3 46) 
 Pinky Piranha (V3 1.3 3)",Nabisco Canyon,34.27145,-118.60406,https://www.mountainproject.com/route/105894028/maggies-traverse
"Mozart's Wall Traverse (V0 2.8 56) 
 Quickstep (V2 3.0 26) 
 Right Edge (5.5 V-easy 1.9 40) 
 Unnamed Arete (V0 2.5 2) 
 Face (V0 2.0 3)",Mozart's Wall,34.27129,-118.60359,https://www.mountainproject.com/route/105969910/mozarts-wall-traverse
"Last Dance (5.10c/d V2 2.5 53) 
 A Wolf in Sheep's Clothing (5.10b/c V1-2 2.7 23)",Corpse Wall,34.07931,-118.65874,https://www.mountainproject.com/route/107560441/last-dance
Sculpture's Crack Traverse (V3 3.5 24),Sculpture's Crack Wall,34.27146,-118.60379,https://www.mountainproject.com/route/105967882/sculptures-crack-traverse
"Islands In The Stream (5.11+ V3-4 R 3.9 13) 
 The Apparatus (V1+ R 3.8 4)",Island Boulder,34.07411,-118.70413,https://www.mountainproject.com/route/118162104/islands-in-the-stream
The Phoenix (5.12b V4 2.8 34),Mt. Gorgeous,34.09567,-118.72976,https://www.mountainproject.com/route/116489968/the-phoenix
"Potholes Traverse (V1 3.0 30) 
 Like A Herd Of Turtles (V4-5 2.7 3)",Back Wall,34.27101,-118.60312,https://www.mountainproject.com/route/105967871/potholes-traverse
"The X Problem (V3 R 3.8 13) 
 Test Tube (V-easy X 3.4 16)",The X Boulder,34.07423,-118.704,https://www.mountainproject.com/route/112919993/the-x-problem
Standard Route (V2 2.5 38),Eat Out More Often (aka Power Glide),34.27057,-118.60278,https://www.mountainproject.com/route/106061755/standard-route
"Y Crack (V0 3.0 27) 
 The Wave (V1 X 3.0 25) 
 Crooked I (V4-5 2.5 8) 
 Unnamed-2 (V0 2.6 5) 
 Unnamed (V0 2.5 4) 
 Heady Topper (V3 PG13 2.3 4) 
 Unnamed Slab (V-easy 2.0 2) 
 Nob wall (V1 2.0 2)",Y - Crack Boulder,34.34141,-118.01597,https://www.mountainproject.com/route/106571456/y-crack
Sink or Swim (AKA Crank Session or Swim Lessons) (V2 4.0 4),Sink or Swim Boulder,34.0952,-118.73141,https://www.mountainproject.com/route/113067381/sink-or-swim-aka-crank-session-or-swim-lessons
"Better Bold than Old (V1-2 3.4 14) 
 Ashley Swenson Sucks (V1+ PG13 2.7 3)",Arbor day boulder,34.34043,-118.01569,https://www.mountainproject.com/route/111804344/better-bold-than-old
"Arete-Me_Not (V4 4.0 2) 
 Chouinard's Hole (V2 2.0 4)",Chouinard's Hole,34.27201,-118.60448,https://www.mountainproject.com/route/118237212/arete-me-not
"The schnoz (V-easy 4.0 2) 
 The stobe (V0 4.0 2) 
 The claw (V1+ 3.5 2) 
 Overhang Right (V3 2.3 3) 
 The Captains Corner (V0 2.0 3)",The Captains Boulder,34.1004,-118.8439,https://www.mountainproject.com/route/118713379/the-schnoz
