Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Natasha's Highball","Natasha's Highball Boulder > 14-Black Velvet Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/111477313/natashas-highball,3.9,-1,Boulder,"V2 PG13",1,20,36.03624,-115.46338
"Plumbers Crack (North side chimney)","Plumber's Crack > 03-Main Area > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/106617793/plumbers-crack-north-side-chimney,3.7,-1,Boulder,"5.8 V0 R",1,25,36.15993,-115.41713
"Plumber's Crack","Plumber's Crack > 03-Main Area > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/107185645/plumbers-crack,3.6,-1,Boulder,"5.9 V2 R",1,40,36.15993,-115.41713
"The Pork Chop","The Pork Chop Boulder > Gateway Canyon Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/107385804/the-pork-chop,3.7,-1,Boulder,V3,1,16,36.16403,-115.41266
"Monkey Bar","Monkey Bar Boulder > 05-East Cluster > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/106657521/monkey-bar,3.6,-1,Boulder,V2,1,20,36.16154,-115.41099
"Perfect Poser","The Cube > 02-Cube Area > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/105959433/perfect-poser,3.6,-1,Boulder,"V1 R",1,25,36.15974,-115.41913
Sorange,"Sorange Boulder > 01-West Cluster > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/114000113/sorange,3.4,-1,Boulder,V3,1,,36.16095,-115.42416
"Potato Chips","Potato Chip > 03-Main Area > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/106650919/potato-chips,3.2,-1,Boulder,V2,1,12,36.15937,-115.41662
Jones'n,"Burnout Boulder > 03-Main Area > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/106732635/jonesn,3.1,-1,Boulder,V4+,1,12,36.15961,-115.41636
"Butterfly Kiss","Hound Dog Arete > 03-Main Area > Kraft Boulders > 01-Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada",https://www.mountainproject.com/route/111338570/butterfly-kiss,3.2,-1,Boulder,V3,1,7,36.15988,-115.41696
