Route,Location,Latitude,Longitude,URL,votes_most_log
25 Cents (V4-5 3.5 2),25 Cents Boulder,36.11679,-115.48466,https://www.mountainproject.com/route/123589899/25-cents,0.3010299956639812
Urban Fervor (V4 2.5 2),30 Rock Boulder,36.0792,-115.47491,https://www.mountainproject.com/route/123604474/urban-fervor,0.3010299956639812
Locals Only (V4 2.3 3),Locals Only Boulder,36.06038,-114.9212,https://www.mountainproject.com/route/123555760/locals-only,0.47712125471966244
Belgian Toothpaste (V3 4.0 3),Belgian Toothpaste,36.15881,-115.50278,https://www.mountainproject.com/route/123586645/belgian-toothpaste,0.47712125471966244
"Left Mantle (V1 R 1.0 2) 
 Target Acquired (V4+ 2.5 2) 
 Evasive Manuevers (V4-5 2.5 2)",Target Acquired Boulder,36.16511,-115.41448,https://www.mountainproject.com/route/123805881/left-mantle,0.3010299956639812
Trailhawk Arete (V0-1 1.0 2),Trailhawk boulder,37.73971,-117.29658,https://www.mountainproject.com/route/119131609/trailhawk-arete,0.3010299956639812
Meditation (V2 1.0 3),Meditation Boulder,39.26781,-119.96498,https://www.mountainproject.com/route/122955626/meditation,0.47712125471966244
"Toadstool (V4 1.0 5) 
 Bread Box (V4 0.0 2)",Caliman Boulder,36.16086,-115.41159,https://www.mountainproject.com/route/106800785/toadstool,0.6989700043360189
Happy Feet (V2 1.5 2),Happy Feet,39.26794,-119.96511,https://www.mountainproject.com/route/122955836/happy-feet,0.3010299956639812
Off The Tracks (V3 1.5 2),Off The Tracks,39.26809,-119.96504,https://www.mountainproject.com/route/122955878/off-the-tracks,0.3010299956639812
"Beak Base (V0 1.5 2) 
 Beak Tip (V0 1.5 2)",Beak Boulder,39.36916,-119.69516,https://www.mountainproject.com/route/120391947/beak-base,0.3010299956639812
"More funk than punk (V1 1.5 2) 
 Razorblade (V2 1.0 1)",Pumpitude Pit,35.95854,-114.7716,https://www.mountainproject.com/route/118897692/more-funk-than-punk,0.3010299956639812
"Cracked Egg (V0-1 1.5 2) 
 slanted dragonet scales (V0-1 1.0 1)",Dragon Egg,36.14259,-115.41999,https://www.mountainproject.com/route/116588789/cracked-egg,0.3010299956639812
Baron von Mouser (V3 2.0 2),Ultraviolet,36.14304,-115.42168,https://www.mountainproject.com/route/123486246/baron-von-mouser,0.3010299956639812
"Feet of Fury (V2 1.8 6) 
 Unknown (V2 1.5 2)",Jack of all Trades Boulder,36.16749,-115.41867,https://www.mountainproject.com/route/108541458/feet-of-fury,0.7781512503836436
"Keep Calm and Carrion (V3 2.5 2) 
 Hoos on the Prowl (V0 2.0 1) 
 Here Turdie Turdie (V2 2.0 1) 
 Warm Up Wall (V-easy 1.0 1) 
 Colon Powl (V1 1.0 1)",Pellet 2,39.37312,-119.6963,https://www.mountainproject.com/route/120391145/keep-calm-and-carrion,0.3010299956639812
"Finger Lickin' Good (V2 2.5 2) 
 Shoulder to Cry On (V1- 1.0 1)",Streak Sauce,36.12118,-115.48307,https://www.mountainproject.com/route/121714740/finger-lickin-good,0.3010299956639812
"Sexy Scissors (V1 2.0 2) 
 The Crack (V3-4 2.0 1)",The Overhang,39.3634,-119.7839,https://www.mountainproject.com/route/108086449/sexy-scissors,0.3010299956639812
Short Cube (V3 2.0 2),Short Cube Boulder,36.16049,-115.41195,https://www.mountainproject.com/route/108595477/short-cube,0.3010299956639812
Left Arête (V2 2.0 2),Roni Size Boulder,36.1285,-115.48739,https://www.mountainproject.com/route/110661876/left-arete,0.3010299956639812
Topout With Your Flock Out (V2 2.0 2),Topout Boulder,39.36921,-119.69518,https://www.mountainproject.com/route/120392043/topout-with-your-flock-out,0.3010299956639812
