Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Pressure Drop","Unbeatable Boulder > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/107051000/pressure-drop,3.8,-1,Boulder,V2,1,12,33.98494,-106.98913
"Knob Problem","Upper Mound (main upper cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106366498/knob-problem,3.0,-1,Boulder,V3,1,,35.08345,-106.48104
"Spitoon AKA: The Scoop","The Scoop Boulder > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106221455/spitoon-aka-the-scoop,3.1,-1,Boulder,V3,1,15,35.68614,-106.65725
"The Three Star V2","Harmonica Convention (AKA Below Edges) > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106639709/the-three-star-v2,3.2,-1,Boulder,V2,1,16,33.9839,-106.987
[Redacted],"Harmonica Convention (AKA Below Edges) > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106640182/redacted,3.6,-1,Boulder,V1,1,18,33.9839,-106.987
"Highball Knob Problem","Trail Side Area  1 > Three Gun (Tres Pistolas) > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106738821/highball-knob-problem,3.3,-1,Boulder,V3,1,15,35.0807,-106.4439
"Dead Cat","Lower Mound (western cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106722183/dead-cat,2.9,-1,Boulder,V1,1,15,35.08378,-106.48234
"Picture Perfect","Picture Perfect Boulder > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106361911/picture-perfect,3.6,-1,Boulder,V3,1,15,35.6852,-106.6588
"Fannie Mae","Fannie Mae > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106646974/fannie-mae,3.7,-1,Boulder,V4,1,15,35.68714,-106.65983
"Tree Beard","Treebeard Boulder > The Jumbles > Middle Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/118101557/tree-beard,3.4,-1,Boulder,V4,1,25,36.03086,-104.32825
"Vampire Roof Center aka Golden","Vampire > Monster Island > New Mexico, I-40 Corridor > New Mexico",https://www.mountainproject.com/route/106889537/vampire-roof-center-aka-golden,3.8,-1,Boulder,V4,1,,34.32319,-107.97662
"Long Ass","Long Ass > Ezekiel Wall Area > Middle Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/117879040/long-ass,3.7,-1,Boulder,V1,1,15,36.0321,-104.32641
"Driftwood or Petrified Wood","Backside of Upper Mound/ Wounded Knee area (Northern cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106365254/driftwood-or-petrified-wood,3.5,-1,Boulder,V4,1,12,35.08387,-106.48104
"Energy Club","Apache Canyon (a.k.a. Grasshopper Canyon) Bouldering > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/112540872/energy-club,3.9,-1,Boulder,V4+,1,30,35.56397,-105.81098
"Sofa King","Harmonica Convention (AKA Below Edges) > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106640283/sofa-king,3.3,-1,Boulder,V4,1,18,33.9839,-106.987
"Center El Mushroom","West Face > Mushroom Boulder > Mills Canyon > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/121732090/center-el-mushroom,3.9,-1,Boulder,V4,1,,36.07193,-104.35587
"Highball slab problem","Upper Mound (main upper cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106366566/highball-slab-problem,3.0,-1,Boulder,V2,1,,35.08345,-106.48104
Overexposed,"The Keep > Upper Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/121796591/overexposed,4.0,-1,Boulder,V4,1,,36.04184,-104.31946
"Thanks for the Pocket Julie Newmar","Pizza Boulders > Dona Ana Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/112940699/thanks-for-the-pocket-julie-newmar,4.0,-1,Boulder,V1,1,16,32.45937,-106.78889
"White Lightning","The Rave > The Volcano > Pena Blanca > South Organs > Organ Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/106199257/white-lightning,3.2,-1,Boulder,V2,1,,32.222,-106.6036
"Crack Problem","Apache Canyon (a.k.a. Grasshopper Canyon) Bouldering > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/117334050/crack-problem,3.7,-1,Boulder,V3,1,12,35.56397,-105.81098
"The Manatee","Upper Mound (main upper cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106365197/the-manatee,3.4,-1,Boulder,V4-5,1,18,35.08345,-106.48104
"Milagro Beanfield","Milagro Beanfield Boulder > The Bench > Mills Canyon > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/116563689/milagro-beanfield,3.4,-1,Boulder,V3,1,11,36.06656,-104.36671
"Wounded Knee","Backside of Upper Mound/ Wounded Knee area (Northern cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106365900/wounded-knee,3.0,-1,Boulder,V2+,1,,35.08387,-106.48104
"The Murray Highball","Upper Mound (main upper cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/107187642/the-murray-highball,4.0,-1,Boulder,V3+,1,18,35.08345,-106.48104
"Dos Huecos","Alex Davis Memorial Boulder > Monjeau Peak > Ruidoso Area > New Mexico, other Southern Areas > New Mexico",https://www.mountainproject.com/route/120273842/dos-huecos,4.0,-1,Boulder,V4,1,,33.42189,-105.70798
"Colon Blow","Harmonica Convention (AKA Below Edges) > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106640188/colon-blow,3.8,-1,Boulder,V0,1,25,33.9839,-106.987
"Northern Arete","Pegasus Campground > City of Rocks > New Mexico, other Southern Areas > New Mexico",https://www.mountainproject.com/route/107012422/northern-arete,4.0,-1,Boulder,V1,1,16,32.5892,-107.9745
Crenellation,"The Keep > Upper Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/121854866/crenellation,3.7,-1,Boulder,V3,1,20,36.04184,-104.31946
"Gold Face","Supercuts Boulder > The Jumbles > Middle Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/118101506/gold-face,3.6,-1,Boulder,V3+,1,15,36.03095,-104.32806
"Nobody Gets Out of Roy Alive","Mega Roof > Upper Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/117878201/nobody-gets-out-of-roy-alive,3.4,-1,Boulder,V4,1,25,36.04163,-104.31949
Cramp!,"TJ's Bathtub Boulder > Sitting Bull Swim Area > Sitting Bull Falls > New Mexico, other Southern Areas > New Mexico",https://www.mountainproject.com/route/122224734/cramp,4.0,-1,Boulder,V3,1,10,32.2437,-104.69645
Fapstronaut,"Nauty Boulders > Felsenmeer Area > Dona Ana Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/120390022/fapstronaut,4.0,-1,Boulder,V2-,1,15,32.46458,-106.77545
