Route,Location,Latitude,Longitude,URL,votes_most_log
"Broken Fingers (V3+ 1.0 2) 
 Dust Storm (V3- 1.0 2) 
 Hip Flexor (V1 1.0 2)",Long Moss Wall,35.87871,-106.33435,https://www.mountainproject.com/route/119242770/broken-fingers,0.3010299956639812
"Splash Landing (V1 R 1.5 2) 
 Splitter choss (V1+ 1.0 1)",The Great Wall of Alto,33.39234,-105.66125,https://www.mountainproject.com/route/123073624/splash-landing,0.3010299956639812
Crack (V2 1.7 3),Rock House Boulder,35.2196,-106.484,https://www.mountainproject.com/route/106571562/crack,0.47712125471966244
Double Noggin Buster (V2 1.7 3),TMBJ Boulder,35.6864,-106.65783,https://www.mountainproject.com/route/106646922/double-noggin-buster,0.47712125471966244
Japchae (V4+ 2.0 2),World Wide Wall,36.04529,-104.31892,https://www.mountainproject.com/route/121887322/japchae,0.3010299956639812
"Ursa Minor (V2 2.0 2) 
 Ursa Major (V3 2.0 1)",Bear Boulders,32.4723,-106.7684,https://www.mountainproject.com/route/105840079/ursa-minor,0.3010299956639812
"Bat Dance (V2 2.0 2) 
 Peener (V1 2.0 1) 
 Uno (V0 2.0 1)",Upper Simms,35.1632,-106.4526,https://www.mountainproject.com/route/106723191/bat-dance,0.3010299956639812
Bouldering Cave Left (V1 2.0 2),Black Wall,35.86968,-106.3573,https://www.mountainproject.com/route/106364592/bouldering-cave-left,0.3010299956639812
"Kachaaa (V2+ 1.7 3) 
 God Dammit (V4- 2.0 1) 
 What A Pain... (V3+ 2.0 1) 
 Brian Liebacker (V0 1.0 1)",Happy Fun Time Boulder,35.13821,-106.48097,https://www.mountainproject.com/route/108979322/kachaaa,0.47712125471966244
"It All Started With a Mantle (V1 2.0 2) 
 Rammy (V2 2.0 2) 
 Left Hand Promises (V1- 1.3 3) 
 Turd Bowl Arete (V0 1.0 1)",Half Moon Boulder,33.4309,-105.73093,https://www.mountainproject.com/route/114977936/it-all-started-with-a-mantle,0.3010299956639812
"Seams Easy (V0+ 2.0 2) 
 Cobbler's Crack (V1 R 2.0 2) 
 Steel Toe'd (V2 X 1.0 1)",Cobbler's Knob,32.3714,-106.5706,https://www.mountainproject.com/route/116987714/seams-easy,0.3010299956639812
Mind Over Matter (V0 2.0 5),Pickpocket Boulder,32.59242,-107.97468,https://www.mountainproject.com/route/106788794/mind-over-matter,0.6989700043360189
"Now Kith (V0 2.0 5) 
 Turtle Traverse (V0 1.8 4)",The Turtle,35.09854,-106.48043,https://www.mountainproject.com/route/111830165/now-kith,0.6989700043360189
"Left Crack (V1+ 2.0 5) 
 Right Center (V1 2.0 5) 
 Right side (V0+ 1.6 5) 
 Far Left (V0 1.2 5)",Small Slab Boulder,35.0834,-106.48103,https://www.mountainproject.com/route/117820312/left-crack,0.6989700043360189
"Shag Carpet (V3 2.3 4) 
 Shag Carpet Direct (V1 2.0 2) 
 Arete Right (V2 2.0 2) 
 Plan B Traverse (V2+ 2.0 1) 
 There and Back Again (V2 2.0 1) 
 The Slopes of Africa (V1+ 1.5 4) 
 False Promises (V1+ 1.0 2)",Plan B Boulder,33.39256,-105.66149,https://www.mountainproject.com/route/114277737/shag-carpet,0.6020599913279624
Perverse Cowgirl (V4 2.3 4),Cowshit Roof,34.00376,-106.99282,https://www.mountainproject.com/route/116800024/perverse-cowgirl,0.6020599913279624
Rock House Corner (V4 2.3 3),Rock House Mantle Boulder,35.2202,-106.4833,https://www.mountainproject.com/route/106359165/rock-house-corner,0.47712125471966244
"Jewell Arete (V0 2.3 3) 
 Dingleberry (V1 2.3 4) 
 Bling Bling (V1 2.0 4) 
 Southwest Corner (V0 2.0 3) 
 BC Two (V2 2.0 1) 
 Jewel Thief (V0 1.7 3) 
 Where's my dinner? (V0 1.7 3)",Jewel Boulder,32.2262,-106.5925,https://www.mountainproject.com/route/108032819/jewell-arete,0.47712125471966244
B (V3 2.3 3),Boulder 3,35.06564,-106.47929,https://www.mountainproject.com/route/111572893/b,0.47712125471966244
"Big Slab (V0+ 2.5 2) 
 Black Streak (V1 2.3 3)",Tree Slab,35.6894,-106.6592,https://www.mountainproject.com/route/106623467/big-slab,0.3010299956639812
"Crack Traverse (V4-5 2.5 2) 
 Cave (V2 1.8 8) 
 Slopers (V3 1.8 6) 
 Pocket (V1 1.6 8) 
 Steep Arete (V2 1.7 3)",Warm-up Boulder,35.68657,-106.65585,https://www.mountainproject.com/route/106305241/crack-traverse,0.3010299956639812
"Spy vs. Spy (V3 2.5 2) 
 Know your Rights (V0 1.7 3) 
 X Spy (V2 1.7 3)",Romantic Spy Boulder,32.2267,-106.599,https://www.mountainproject.com/route/106200069/spy-vs-spy,0.3010299956639812
Flea Protein (V1 PG13 2.5 2),Shady Side,32.3351,-106.5942,https://www.mountainproject.com/route/105881688/flea-protein,0.3010299956639812
Castle Greyskull (V4 2.5 2),Main Wall,35.86945,-106.35773,https://www.mountainproject.com/route/106330273/castle-greyskull,0.3010299956639812
Crowbar Crack (V3 2.5 2),Crowbar Boulder,32.36922,-106.5546,https://www.mountainproject.com/route/116609250/crowbar-crack,0.3010299956639812
"Black Ball Crack (V0+ 2.5 2) 
 Beetle Crack (V0- 2.0 2) 
 West Arete (V0+ 1.7 3) 
 Black Beetle (V0- 1.0 2)",Black Ball Boulder,35.10264,-106.48306,https://www.mountainproject.com/route/118044500/black-ball-crack,0.3010299956639812
"Unnamed Arete (V3+ 2.5 2) 
 Hole in my Black Heart (V2 2.0 1)",Dark Star Boulder,36.65603,-105.97274,https://www.mountainproject.com/route/118844779/unnamed-arete,0.3010299956639812
"Lead Farmer (V3 2.5 2) 
 Get the Lead Out (V2 1.0 1)",Sportsman Boulder - Rendija Canyon,35.91046,-106.2527,https://www.mountainproject.com/route/119900581/lead-farmer,0.3010299956639812
"Billy Goat (V3 2.5 2) 
 Goat Throw (V2 2.0 1)",Goat Boulder,34.00477,-106.98876,https://www.mountainproject.com/route/121489767/billy-goat,0.3010299956639812
"Girls on Film (V2-3 2.7 3) 
 B.B. (V0 2.0 3) 
 Swiss Army Knife (V4 2.0 2) 
 O.G. (V3 2.0 2)",Roadside Attraction Boulder,36.07005,-104.355,https://www.mountainproject.com/route/121887585/girls-on-film,0.47712125471966244
"Reservoir Dogs (V4 2.3 7) 
 Smiley Face Problem (V2-3 2.0 1)",Reservoir Dogs Boulder,35.68666,-106.6563,https://www.mountainproject.com/route/106220597/reservoir-dogs,0.8450980400142568
"Fire Wall (V1 2.3 8) 
 Spit Fire (V2 2.1 8)",Fire Pit,32.22174,-106.60466,https://www.mountainproject.com/route/110249259/fire-wall,0.9030899869919435
"Sliced Tips (V1+ 2.1 14) 
 Knob nirvana (V0+ PG13 2.1 14) 
 Shade line (V0 2.0 10) 
 Grated shin (V1 2.0 6)",Boulder A,35.09814,-106.47699,https://www.mountainproject.com/route/107908986/sliced-tips,1.146128035678238
"Unnamed (V2 2.5 6) 
 Jet Jaguar Fight Song (V3 2.1 8) 
 Marauding Arthropods (V2-3 2.1 8)",Jet Jaguar,34.3229,-107.97642,https://www.mountainproject.com/route/112143470/unnamed,0.7781512503836436
Megatron Falls (V2 PG13 2.5 6),Aurora Boulder,32.5908,-107.97243,https://www.mountainproject.com/route/106753823/megatron-falls,0.7781512503836436
"Cold Turkey (V0- 2.7 3) 
 99 Cents (V0+ 2.3 3) 
 Zero the Hero (V0 2.0 1) 
 Favorite Jug (V1 2.0 1) 
 Pie (V0 2.0 1) 
 Manpower Crack (V1+ 1.0 1)",Cigarette machine,32.2313,-106.5988,https://www.mountainproject.com/route/107883871/cold-turkey,0.47712125471966244
"Sunday AM Coming Down (V1 2.5 8) 
 Northside V3 (V3 1.8 4)",Sunday AM,35.68616,-106.65702,https://www.mountainproject.com/route/115444835/sunday-am-coming-down,0.9030899869919435
"Shinjo (V3 2.8 4) 
 Unknown (V2 2.0 1)",The Orange Lightbulb (Ichiro),35.68655,-106.65897,https://www.mountainproject.com/route/106646932/shinjo,0.6020599913279624
Willy Scare Problem (V0 2.8 4),Willy Scare,34.32309,-107.9765,https://www.mountainproject.com/route/106964555/willy-scare-problem,0.6020599913279624
