Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Soap on a Rope","The Orb > Rocktown > Georgia",https://www.mountainproject.com/route/106036163/soap-on-a-rope,3.8,-1,Boulder,V4-5,1,12,34.65398,-85.39029
"Makin' Waves","Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/108011471/makin-waves,3.6,-1,Boulder,V2,1,,34.64924,-85.39164
"El Classico","Campus Punks > Rocktown > Georgia",https://www.mountainproject.com/route/109614076/el-classico,3.6,-1,Boulder,V0,1,,34.6591,-85.3899
"The Scoop","Back Street Boulders > Rocktown > Georgia",https://www.mountainproject.com/route/106036764/the-scoop,3.5,-1,Boulder,V3,1,7,34.65029,-85.39236
Ripple,"Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/107950314/ripple,3.4,-1,Boulder,V2,1,,34.64924,-85.39164
"El Bano","Asphalt Boulders > Rocktown > Georgia",https://www.mountainproject.com/route/107793133/el-bano,3.4,-1,Boulder,V3,1,15,34.65028,-85.39185
"Gritstone Arete","Campus Punks > Rocktown > Georgia",https://www.mountainproject.com/route/109614067/gritstone-arete,3.5,-1,Boulder,V3,1,,34.6591,-85.3899
"Super Mario","Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/107946892/super-mario,3.3,-1,Boulder,V3,1,15,34.64924,-85.39164
"Double Trouble","The Orb > Rocktown > Georgia",https://www.mountainproject.com/route/106037229/double-trouble,3.2,-1,Boulder,V3-4,1,15,34.65398,-85.39029
Luigi,"Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/107946901/luigi,3.1,-1,Boulder,V3,1,15,34.64924,-85.39164
"Belly Button","Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/107950339/belly-button,3.0,-1,Boulder,V3,1,,34.64924,-85.39164
Yoshi,"Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/108611500/yoshi,3.3,-1,Boulder,V4,1,15,34.64924,-85.39164
"El Bano Direct","Asphalt Boulders > Rocktown > Georgia",https://www.mountainproject.com/route/107793139/el-bano-direct,3.1,-1,Boulder,V4,1,15,34.65028,-85.39185
"Rail Grind","Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/108011395/rail-grind,2.9,-1,Boulder,V1-2,1,,34.64924,-85.39164
"Bulge in My Pants","The Bads > Rocktown > Georgia",https://www.mountainproject.com/route/108029539/bulge-in-my-pants,3.1,-1,Boulder,V2,1,,34.65288,-85.39079
"Comet Arete","The Comet Boulder > Rocktown > Georgia",https://www.mountainproject.com/route/106948516/comet-arete,3.2,-1,Boulder,V1,1,,34.64818,-85.3919
"Isle of the Beautiful Women","The Front Corridor > Rocktown > Georgia",https://www.mountainproject.com/route/106338706/isle-of-the-beautiful-women,3.5,-1,Boulder,V4,1,15,34.6591,-85.3899
"The Standard","The Comet Boulder > Rocktown > Georgia",https://www.mountainproject.com/route/106948499/the-standard,3.0,-1,Boulder,V3,1,,34.64818,-85.3919
"The Zero Hero","Hueco Simulator > Rocktown > Georgia",https://www.mountainproject.com/route/108011447/the-zero-hero,2.5,-1,Boulder,V0,1,,34.64924,-85.39164
"Screaming Church Girls","Chex Area > Rocktown > Georgia",https://www.mountainproject.com/route/110076054/screaming-church-girls,3.1,-1,Boulder,V4,1,10,34.64962,-85.39258
"Paint Can","Campus Punks > Rocktown > Georgia",https://www.mountainproject.com/route/111387158/paint-can,3.0,-1,Boulder,V2,1,,34.6591,-85.3899
"True Grit","Campus Punks > Rocktown > Georgia",https://www.mountainproject.com/route/108548815/true-grit,3.3,-1,Boulder,V2+,1,,34.6591,-85.3899
