Route,Location,Latitude,Longitude,URL
"Soap on a Rope (V4-5 3.8 114) 
 Double Trouble (V3-4 3.2 96) 
 The Easy Way Out (V1 3.0 35) 
 Kurk the Roach (V1 2.5 38) 
 Rim Job (V2 2.7 26) 
 Fly Dawg (V0 2.1 37) 
 Pocket Rocket (V4 3.0 19) 
 Hornet (V2 PG13 3.0 15) 
 Out of Orbit (V2 2.7 20) 
 Monkey Bars (V1 2.7 19) 
 Pet Raccoon (V1 2.0 33) 
 Lot Lizard (V1 2.1 28) 
 Groper Left (V2 3.2 5) 
 Sweetness (V2 2.7 7) 
 African Death Bed (V1 2.4 13) 
 Lucky 7 (V2 2.7 6) 
 El Hueco (V1+ 2.3 9) 
 Cramper (V1 2.1 14) 
 Marvin's Mantle (V1 2.5 4) 
 Magic Mantle (V1-2 2.5 4) 
 Wasatch (V4 2.5 2) 
 Bob's Face (V3 1.9 7) 
 The Black Knight (V2 2.0 4) 
 BC (V0 2.0 4)",The Orb,34.65398,-85.39029,https://www.mountainproject.com/route/106036163/soap-on-a-rope
"Makin' Waves (V2 3.6 119) 
 Ripple (V2 3.4 161) 
 Super Mario (V3 3.3 159) 
 Luigi (V3 3.1 114) 
 Belly Button (V3 3.0 104) 
 Yoshi (V4 3.3 71) 
 Rail Grind (V1-2 2.9 71) 
 The Zero Hero (V0 2.5 62) 
 Little Bit of Hueco (V0 2.8 32) 
 Red Stripe (V0 2.4 22) 
 Bread Loaf Mantle (V2-3 2.7 14) 
 Donkey Punch (V0 3.0 7) 
 Donkey Kick (V0 2.6 5) 
 Buttcrack (V1 PG13 1.7 3)",Hueco Simulator,34.64924,-85.39164,https://www.mountainproject.com/route/108011471/makin-waves
"El Classico (V0 3.6 102) 
 Gritstone Arete (V3 3.5 78) 
 Isle of the Beautiful Women (V4 3.5 46) 
 Paint Can (V2 3.0 41) 
 True Grit (V2+ 3.3 29) 
 Freed's Fall (V4 3.8 14) 
 Grape Ape (V4 PG13 3.7 15) 
 Go Home Trad You're Drunk (V2 4.0 2) 
 Jug Surfin' (V4 2.7 29) 
 Old Style (V4 2.8 23) 
 Tsunami (V2 3.7 6) 
 Almost Famous (V3 3.4 11) 
 Reverse Traverse (V4 3.6 5) 
 Left Croc Bloc (V4 3.0 16) 
 Crock Block Right (V4 3.5 4) 
 Jug (V0 2.4 25) 
 The Yoga Move (V4+ 2.7 18) 
 Guin Traverse (V3 3.5 2) 
 20 Feet of Fun (V1 PG13 3.0 11) 
 Pasty Faced Weirdos (V4 3.2 6) 
 20 Feet of Madness (V1 2.8 12) 
 Guin Arete (V3 3.1 8) 
 Touchin' Panties (V4+ 3.0 3) 
 Colonoscopy (V4 3.0 2) 
 The Locker (V3 3.0 2) 
 Crocker (V3+ 3.0 2) 
 Red Belly (V4 2.5 10) 
 Squeak (V0- 2.4 9) 
 The Brain (V0 2.1 15) 
 Pinky (V0 2.1 15) 
 Touchin' Cotton (V3+ 2.4 7) 
 Crock Block Far Right (V4 2.4 7) 
 Harbor Wave (V2- 2.5 4) 
 Block Hoppin (V2 2.4 5) 
 Everyones pee spot (V3- 2.3 3) 
 Almost Bad-Ass (V3 2.0 6) 
 A Head Deep (V4 2.0 2) 
 Brown Shield (V3 2.0 2) 
 Casually (V1 1.5 2)",Campus Punks,34.6591,-85.3899,https://www.mountainproject.com/route/109614076/el-classico
"The Scoop (V3 3.5 188) 
 Anti-Scoop (V4 2.6 33) 
 Scoop Left (V1 2.5 4) 
 Scoop Right (V3 2.0 3)",Back Street Boulders,34.65029,-85.39236,https://www.mountainproject.com/route/106036764/the-scoop
"El Bano (V3 3.4 110) 
 El Bano Direct (V4 3.1 72) 
 King Cobra aka Snake Eyes (V2 3.2 6) 
 el bano right (V2 2.5 11) 
 La Puerta del Baño (V0 2.3 3)",Asphalt Boulders,34.65028,-85.39185,https://www.mountainproject.com/route/107793133/el-bano
Bulge in My Pants (V2 3.1 58),The Bads,34.65288,-85.39079,https://www.mountainproject.com/route/108029539/bulge-in-my-pants
"Comet Arete (V1 3.2 55) 
 The Standard (V3 3.0 53)",The Comet Boulder,34.64818,-85.3919,https://www.mountainproject.com/route/106948516/comet-arete
"Screaming Church Girls (V4 3.1 48) 
 Candle Sticks (V2 2.7 23) 
 Half Ass Roof (V2 2.6 9) 
 Altar Boys (V2+ 2.0 20) 
 Under the Pews (V0 1.8 10)",Chex Area,34.64962,-85.39258,https://www.mountainproject.com/route/110076054/screaming-church-girls
"Goforia (V0 4.0 12) 
 Great Unknown Slab (V3 3.3 4) 
 Alien Writing (V3 2.8 6) 
 The Dyno Slab/Concave Slab (V0 2.7 3) 
 Dwarf Toss (V4 2.3 3) 
 Sno Cone (V2 2.3 4)",Goforia Corridor,34.6591,-85.38989,https://www.mountainproject.com/route/120482206/goforia
"Triple Slaps (V3 3.1 28) 
 The Triple Slaps (V3 2.9 29) 
 Mr. Softy (V1 3.3 14) 
 The Rack (V0 3.5 2) 
 Medieval (V1 3.0 10)",Police Brutality,34.65007,-85.39161,https://www.mountainproject.com/route/112337147/triple-slaps
