Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Jaws,"Jaws Vicinity > Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791650/jaws,3.4,-1,"Trad, Boulder","5.11a V1",1,15,33.00579,-116.96748
"Baby Robbins","Jaws Vicinity > Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791654/baby-robbins,2.7,-1,"Trad, Boulder","5.9 V0-",1,15,33.00579,-116.96748
"Lieback Rock Dyno","Lieback Rock > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105930321/lieback-rock-dyno,2.7,-1,"Trad, Boulder","5.10a V1-",1,,32.85126,-117.02071
"Masochist Crack","Beehive Boulders > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105930392/masochist-crack,2.5,-1,"Trad, Boulder","5.9 V0-",1,10,32.85097,-117.02078
"Lieback Rock Lieback","Lieback Rock > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105930315/lieback-rock-lieback,3.3,-1,Boulder,"5.11a V2",1,,32.85126,-117.02071
"Big Horn","The Cave Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105803666/big-horn,2.8,-1,"Trad, Boulder","5.8+ V0-",1,12,33.00766,-116.96944
"Hamburger Crack","Hamburger Crack Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796404/hamburger-crack,2.1,-1,"Trad, Boulder","5.9 V0",1,9,33.00713,-116.96811
"The Ramp","20 Point Boulder > Dog Pile Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106838153/the-ramp,3.1,-1,Boulder,"5.10d V2",1,12,32.8506,-117.02412
Fingercrack,"Beehive Boulders > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105992993/fingercrack,2.3,-1,Boulder,V0,1,,32.85097,-117.02078
"The Knobs","Beehive Boulders > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105992986/the-knobs,2.1,-1,Boulder,V0-,1,10,32.85097,-117.02078
Crack,"Lieback Rock > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105929227/crack,2.0,-1,Boulder,"5.7 V0-",1,,32.85126,-117.02071
"The Butt Plug North Side","The Butt Plug > Dog Pile Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106214530/the-butt-plug-north-side,2.1,-1,Boulder,"V0- PG13",1,16,32.8504,-117.02342
Chocoholic,"Chocolate Boulder > Cottonwood Camp > Cottonwood Area > Culp Valley > San Diego County Desert Area > San Diego County > California",https://www.mountainproject.com/route/106116964/chocoholic,3.1,-1,Boulder,V0,1,20,33.21279,-116.46153
"The Black Spot Problem","The Moon Boulder > Synchronicity Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105989173/the-black-spot-problem,3.4,-1,Boulder,V2,1,,32.851,-117.02259
Jumpstart,"The Amphitheater > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105993562/jumpstart,3.3,-1,Boulder,V3,1,,32.85064,-117.0211
Flake,"Lieback Rock > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105991310/flake,2.3,-1,Boulder,V0,1,,32.85126,-117.02071
Gutenobbin,"Plate Techtonics Boulder > Vector Crack Area > Cottonwood Area > Culp Valley > San Diego County Desert Area > San Diego County > California",https://www.mountainproject.com/route/106961544/gutenobbin,3.0,-1,Boulder,V0-1,1,,33.21046,-116.45914
"Vector Crack","Vector Boulder > Vector Crack Area > Cottonwood Area > Culp Valley > San Diego County Desert Area > San Diego County > California",https://www.mountainproject.com/route/106118326/vector-crack,2.6,-1,Boulder,V0,1,15,33.21073,-116.45935
"Bullet Hole Wall Crack","Bullet Hole Wall > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105930303/bullet-hole-wall-crack,2.5,-1,Boulder,"5.7 V0",1,15,32.85081,-117.02107
Mantle,"Lieback Rock > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105991342/mantle,2.2,-1,Boulder,V0,1,,32.85126,-117.02071
"The Painted Crack","Painted Crack Boulder > Hillside Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105928345/the-painted-crack,2.5,-1,"Trad, Boulder","5.8 V0-",1,15,32.85016,-117.02035
"Black Dot","Black Dot Boulder > Windy Boulders Central > Windy Boulders > Culp Valley > San Diego County Desert Area > San Diego County > California",https://www.mountainproject.com/route/106596381/black-dot,3.0,-1,Boulder,V3,1,12,33.21361,-116.45557
