Route,Location,Latitude,Longitude,URL
"Jaws (5.11a V1 3.4 150) 
 Baby Robbins (5.9 V0- 2.7 249) 
 I Would Die For You (5.12 V4 2.9 9) 
 Sausage Sandwich (V2+ 3.0 4)",Jaws Vicinity,33.00579,-116.96748,https://www.mountainproject.com/route/105791650/jaws
"Lieback Rock Dyno (5.10a V1- 2.7 103) 
 Lieback Rock Lieback (5.11a V2 3.3 63) 
 Crack (5.7 V0- 2.0 81) 
 Flake (V0 2.3 63) 
 Mantle (V0 2.2 58) 
 Funky Like a Monkey (aka Lieback Rock Traverse) (V3 3.4 13) 
 Sloping Disappointment (V2 2.5 29) 
 Penny Press (V0-1 2.6 20) 
 Unknown Slab (V0- 1.7 10) 
 Reverse Lieback aka Lieback Right (V3 2.0 3) 
 Another unknown slab (V2-3 1.7 3)",Lieback Rock,32.85126,-117.02071,https://www.mountainproject.com/route/105930321/lieback-rock-dyno
"Masochist Crack (5.9 V0- 2.5 86) 
 Fingercrack (V0 2.3 75) 
 The Knobs (V0- 2.1 96) 
 Iron Stem (5.11c V3 3.2 5) 
 Iron Cross (V2 2.5 17) 
 The Wrist-breaker (5.8 V0 2.2 22) 
 Hollow Flake [Unknown] (V0 1.8 24) 
 Off-Width Problem (5.7 V-easy 1.5 23) 
 Unnamed (Slab) (V0 2.0 13) 
 The Alien (5.8- V0 2.1 11) 
 Unnamed (V-easy 2.0 4) 
 Bear Hug (5.11+ V3 2.0 2)",Beehive Boulders,32.85097,-117.02078,https://www.mountainproject.com/route/105930392/masochist-crack
"Big Horn (5.8+ V0- 2.8 68) 
 Fisticuffs (5.8 V-easy 1.3 23)",The Cave Area,33.00766,-116.96944,https://www.mountainproject.com/route/105803666/big-horn
"Hamburger Crack (5.9 V0 2.1 120) 
 Baby Edge (V0 3.4 5) 
 Right of the Tree (5.8+ V0- 1.7 18) 
 Left of the Tree (5.10 V0+ 1.7 7)",Hamburger Crack Area,33.00713,-116.96811,https://www.mountainproject.com/route/105796404/hamburger-crack
"The Ramp (5.10d V2 3.1 60) 
 Traverse - right (5.10d V2 3.9 17) 
 Twenty Point Problem (5.12a V4 3.7 22) 
 West Face - left (V1 1.6 29) 
 Traverse - left (5.11d V3 2.8 4) 
 West Face - right (5.10+ V1 2.1 15)",20 Point Boulder,32.8506,-117.02412,https://www.mountainproject.com/route/106838153/the-ramp
"The Butt Plug North Side (V0- PG13 2.1 74) 
 East Face of Butt Plug (V2 2.6 31) 
 East face traverse R->L (V1 2.7 23) 
 East face traverse L->R (V1 2.4 10) 
 Butt Plug Mantle (V1 2.0 2)",The Butt Plug,32.8504,-117.02342,https://www.mountainproject.com/route/106214530/the-butt-plug-north-side
"Chocoholic (V0 3.1 55) 
 Coco Crispies (V3 2.4 22) 
 Chocolate left arete (V-easy 2.2 26) 
 Unnamed Slab (V3 2.5 13) 
 Godiva (V3 2.5 6) 
 Scimitar (aka Dead Ringer) (V3 1.8 11)",Chocolate Boulder,33.21279,-116.46153,https://www.mountainproject.com/route/106116964/chocoholic
"The Black Spot Problem (V2 3.4 45) 
 Unnamed (5.10a/b V0 2.5 14) 
 NE face (left) (V2 2.7 3) 
 Unnamed* (5.10c V0 1.6 11)",The Moon Boulder,32.851,-117.02259,https://www.mountainproject.com/route/105989173/the-black-spot-problem
"Jumpstart (V3 3.3 44) 
 Amp Incline (V0 2.0 54) 
 Walkman (V0+ 2.7 23) 
 Amphitheatre Traverse (V3 2.9 13) 
 One Cut Above (V4 2.6 7) 
 Eastside Traverse (right) (V0 2.1 16) 
 Powell Face (V4 2.4 7) 
 Face (5.9 V0 2.0 15) 
 Thin Face (5.10c V1 2.4 5) 
 Beneath the Shelf (5.7 V-easy 1.8 16) 
 Eastside Traverse (Left) (V0 1.8 12)",The Amphitheater,32.85064,-117.0211,https://www.mountainproject.com/route/105993562/jumpstart
"Gutenobbin (V0-1 3.0 48) 
 One Hard Move (V3 2.7 20)",Plate Techtonics Boulder,33.21046,-116.45914,https://www.mountainproject.com/route/106961544/gutenobbin
"Vector Crack (V0 2.6 55) 
 Salad Days (V0+ 2.7 22) 
 Vector Flake/Crack Traverse (V1 2.3 30) 
 Zorro (V1 2.2 9) 
 Unnamed V4 (V2 2.3 3) 
 Enchanted Broccoli Forest (V1 2.2 6) 
 Unnamed V0 (V0 1.9 8) 
 Gutenobbin (V3- 2.0 3) 
 Protuberance (V3 1.0 2) 
 DownClimb (V0 1.0 2)",Vector Boulder,33.21073,-116.45935,https://www.mountainproject.com/route/106118326/vector-crack
