Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bates Arete","Bates Arete Boulder > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736294/bates-arete,3.7,-1,Boulder,V4,1,10,37.22868,-122.09628
"Tree Problem","Parking Lot Rock > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736297/tree-problem,3.6,-1,Boulder,V4+,1,20,37.2296,-122.0952
"Waimea Wall","Castle Rock Proper > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736193/waimea-wall,3.2,-1,Boulder,V1,1,,37.22862,-122.0962
"Center Overhang (aka Pitfall)","The Pit (West Side) > Indian Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734705/center-overhang-aka-pitfall,3.1,-1,"TR, Boulder","5.11 V3 R",1,20,37.89213,-122.27299
"Hueco Slap","Dog Dish Boulders > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105792950/hueco-slap,3.1,-1,Boulder,V4,1,12,37.22801,-122.09564
"The Spoon","The Spoon > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736288/the-spoon,3.0,-1,Boulder,V1-2,1,10,37.22876,-122.09615
"Santa Cruz Dude","Lower Indian Rock > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110744901/santa-cruz-dude,2.9,-1,Boulder,V3-4,1,,37.23166,-122.09346
"The Beak Traverse","The Beak > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736181/the-beak-traverse,2.9,-1,Boulder,V3,1,10,37.22844,-122.09592
"The Ramp","Mortar Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735302/the-ramp,2.9,-1,Boulder,V4,1,10,37.89328,-122.27241
"The Warm Up","Dog Dish Boulders > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110616152/the-warm-up,2.8,-1,Boulder,V1,1,12,37.22801,-122.09564
"Flake Traverse","The Pit (West Side) > Indian Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734783/flake-traverse,2.7,-1,Boulder,V3,1,20,37.89213,-122.27299
Pegboard,"The Pit (West Side) > Indian Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/106762340/pegboard,2.7,-1,Boulder,V1,1,18,37.89213,-122.27299
Watercourse,"The Pit (West Side) > Indian Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734702/watercourse,2.7,-1,"TR, Boulder","5.10 V1 R",1,30,37.89213,-122.27299
"The Swim","Mrs Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107000865/the-swim,2.7,-1,Boulder,V3,1,8,37.22827,-122.09556
"Mr Magoo","Mr Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735659/mr-magoo,2.6,-1,Boulder,V1-2,1,10,37.22838,-122.09569
Triceratops,"Triceratops Boulder > Secrets > Salt Point State Park > Wine Country > San Francisco Bay Area > California",https://www.mountainproject.com/route/111824185/triceratops,3.9,-1,Boulder,V4,1,,38.60389,-123.36885
"Indian Crack","Indian Cracks > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106647630/indian-crack,2.4,-1,Boulder,V0,1,10,37.2302,-122.09347
"Magoo Face","Mr Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110616145/magoo-face,2.4,-1,Boulder,V2,1,15,37.22838,-122.09569
"1 1/4"" Crack","Indian Cracks > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106647664/1-14-crack,2.6,-1,Boulder,V1,1,10,37.2302,-122.09347
Unnamed,"Mr Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735644/unnamed,2.4,-1,Boulder,V1,1,,37.22838,-122.09569
"Raw Honey","Indian Cracks > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108202295/raw-honey,2.7,-1,Boulder,V2-3,1,12,37.2302,-122.09347
"Warm Up","Mr Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735650/warm-up,2.2,-1,Boulder,V0,1,,37.22838,-122.09569
"Tufatafoni Traverse","Stoney Whiteboots Boulder > Call Box Rocks > Salt Point State Park > Wine Country > San Francisco Bay Area > California",https://www.mountainproject.com/route/111362572/tufatafoni-traverse,3.7,-1,Boulder,V4,1,,38.57716,-123.34012
"The Edge","360 Degree Boulder > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108628720/the-edge,2.7,-1,Boulder,V2,1,8,37.22873,-122.09632
"Pelican Arete","Ram Rock > Sunset Boulders > Goat Rock > Sonoma Coast State Park > Wine Country > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735149/pelican-arete,2.8,-1,"TR, Boulder","5.10a V0",1,30,38.42937,-123.11571
Mantle,"Indian Cracks > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106647637/mantle,2.3,-1,Boulder,V0,1,10,37.2302,-122.09347
"Honey Dipper","Indian Cracks > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106647653/honey-dipper,2.3,-1,Boulder,V1+,1,10,37.2302,-122.09347
[Redacted],"[Redacted] > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108203239/redacted,3.5,-1,Boulder,V4+,1,20,37.23108,-122.09482
"Rug Head (AKA Rug Rat)","Parking Lot Rock > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108314742/rug-head-aka-rug-rat,2.8,-1,Boulder,V2-3,1,10,37.2296,-122.0952
"Bucket Prow","Pinnacle Rock > Remillard Park > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734678/bucket-prow,2.5,-1,"TR, Boulder","5.6 V0-",1,30,37.8923,-122.2611
"Embryonic Journey","The Pit (West Side) > Indian Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735323/embryonic-journey,2.6,-1,Boulder,V3,1,20,37.89213,-122.27299
"The Bulge","Stonewall Rock > Woodcrest Ridge Boulders > Woodcrest Boulders > The Nut Tree Boulders > Wine Country > San Francisco Bay Area > California",https://www.mountainproject.com/route/107979471/the-bulge,3.4,-1,Boulder,V3,1,,38.37668,-121.98461
"Overhanging Lieback","Mr Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735593/overhanging-lieback,2.6,-1,Boulder,V2-3,1,10,37.22838,-122.09569
"Mrs. Magoo","Mrs Magoo Boulder > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109559101/mrs-magoo,2.7,-1,Boulder,V2,1,10,37.22827,-122.09556
"The Ape","North face (Indian Rock) > Indian Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/107486696/the-ape,2.6,-1,Boulder,V2,1,,37.89229,-122.27321
"Gimme My Forty Sucka","Hidden Boulder > Hillcrest Boulders > The Nut Tree Boulders > Wine Country > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736148/gimme-my-forty-sucka,3.2,-1,Boulder,"V0 R",1,18,38.38942,-121.99218
Flakes,"Parking Lot Rock > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107439111/flakes,2.8,-1,Boulder,V3-,1,12,37.2296,-122.0952
Domino,"Domino > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109099185/domino,2.8,-1,Boulder,V2,1,12,37.22786,-122.0966
"The Hand Traverse (Warmup)","Mortar Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/109719944/the-hand-traverse-warmup,2.6,-1,Boulder,V1,1,10,37.89328,-122.27241
"The Slope","Dog Dish Boulders > Magoos > Castle Rock Loop > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109256400/the-slope,2.5,-1,Boulder,V4-,1,12,37.22801,-122.09564
"Thee Classic","Thee Classic > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108203207/thee-classic,3.4,-1,Boulder,V4,1,12,37.23139,-122.09339
Vicious,"Lost Keys Bouldering > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/115847357/vicious,2.7,-1,Boulder,V4-5,1,,37.2313,-122.09123
"Transportation Crack","The Pit (West Side) > Indian Rock > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735320/transportation-crack,1.9,-1,"TR, Boulder","5.3 V-easy",1,10,37.89213,-122.27299
"Sloper Route","Indian Cracks > Indian Rock Side > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110744632/sloper-route,2.4,-1,Boulder,V2,1,10,37.2302,-122.09347
