Route,Location,Latitude,Longitude,URL
Bates Arete (V4 3.7 81),Bates Arete Boulder,37.22868,-122.09628,https://www.mountainproject.com/route/105736294/bates-arete
Tree Problem (V4+ 3.6 87) Rug Head (AKA Rug Rat) (V2-3 2.8 60) Flakes (V3- 2.8 52) Slopers (V3 2.9 16) Coz Mama Roof (V4 2.1 29) Lieback (V1 1.7 33) The Offwidth (V0+ 3.0 2) Pockets (V1 1.9 20) Unnamed roof (V3 2.4 5) Let's Get Hurt (V3 PG13 2.1 11) Unnamed (V4 2.2 6) Unamed Back Side Slab (V3 2.0 2),Parking Lot Rock,37.2296,-122.0952,https://www.mountainproject.com/route/105736297/tree-problem
Waimea Wall (V1 3.2 101) Unknown V0 (V1- 2.0 27) The Block (V4 3.0 6) Cave Roof (V3 2.6 12) The Project (V2-3 2.8 4) Red Rocket (V1-2 2.0 15) Thunderdumb (V2 2.5 2) Waimea Wall Right (V3 2.1 7) Between a Stump and a Hard Place (V4 1.5 4),Castle Rock Proper,37.22862,-122.0962,https://www.mountainproject.com/route/105736193/waimea-wall
Center Overhang (aka Pitfall) (5.11 V3 R 3.1 100) Flake Traverse (V3 2.7 82) Pegboard (V1 2.7 109) Watercourse (5.10 V1 R 2.7 95) Embryonic Journey (V3 2.6 59) Transportation Crack (5.3 V-easy 1.9 63) Far Left Watercourse (5.11d V4 R 3.8 4) Overhang to Arete (V1 2.6 27) The Edge (V4 3.6 5) Seasoned Experts Crack (5.7 V0 2.9 17) Overhung Roof (V0 2.1 30) C+ Dyno (V4 R 3.2 5) Ankle Buster (5.0 V0 R 2.0 26) Indian Arête (V0 1.9 28) Embryonic Journey direct sit start (V3-4 2.6 13) The Edge Slab (V1 1.9 24) Overhung Wall - Right Exit (V0 R 1.5 26) No Hands Route (V2 1.9 10),The Pit (West Side),37.89213,-122.27299,https://www.mountainproject.com/route/105734705/center-overhang-aka-pitfall
Hueco Slap (V4 3.1 129) The Warm Up (V1 2.8 93) The Slope (V4- 2.5 52) Dog Dish Traverse (V2 2.4 28) Highball (V0 PG13 2.3 28) Compression Problem (V3 2.6 9) No Hands Slab (V0 2.0 10) Unknown V0 (V0 2.2 5) V2 (V2 1.8 9) unknown (V2 2.0 2) Arete (V0- 1.5 8),Dog Dish Boulders,37.22801,-122.09564,https://www.mountainproject.com/route/105792950/hueco-slap
The Spoon (V1-2 3.0 161) Spoon Face (V4 2.4 37) Unknown contrived dyno (V2+ 2.3 6) Frog Traverse (V2 1.9 14) Spoon Arête (V3 2.3 3),The Spoon,37.22876,-122.09615,https://www.mountainproject.com/route/105736288/the-spoon
Santa Cruz Dude (V3-4 2.9 84) Left Hand Indian Man (V4 2.9 38) Sticky Rice (V1 2.5 46) Mostro Mantle (V4-5 4.0 4) The Shark (V1 PG13 2.9 18) The Scoop (V0-1 2.3 13) Unnamed V2 (V2 2.0 20) Real Time (V4 2.6 5) The Heffalump (V4 2.7 3) The Problem Tree (V2 2.4 5),Lower Indian Rock,37.23166,-122.09346,https://www.mountainproject.com/route/110744901/santa-cruz-dude
The Beak Traverse (V3 2.9 100) Garage Door (V0-1 2.5 12) Beak Mantle (V4 2.2 13) Garage door traverse (V4-5 2.5 2) The Pecker (V4- 1.7 3),The Beak,37.22844,-122.09592,https://www.mountainproject.com/route/105736181/the-beak-traverse
The Ramp (V4 2.9 152) The Hand Traverse (Warmup) (V1 2.6 51) Bench Wall (V2 R 2.7 42) Rimshot (V2-3 2.4 28) Black Shine (V4 2.8 14) The Girls' Problem (stand) (V4 2.5 19) Over the Bulge (V3 R 2.7 13) Bench Wall Crack (V1 PG13 2.1 25) Red's Revenge (V2+ 2.8 4) Left Arete (V0+ 1.7 19) Bench Wall Corner (V1 R 2.1 8) Edges (V0 R 1.5 6),Mortar Rock,37.89328,-122.27241,https://www.mountainproject.com/route/105735302/the-ramp
The Swim (V3 2.7 86) Mrs. Magoo (V2 2.7 54) Mrs. Magoo Traverse (V3-4 3.0 39) The Groove (V1 2.5 46) Roof Traverse (V3 PG13 2.8 12) The Nose (V1 2.4 13) Unnamed V2 (V2 1.8 10),Mrs Magoo Boulder,37.22827,-122.09556,https://www.mountainproject.com/route/107000865/the-swim
