Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Emerald City","Emerald City > The West Rim > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107176656/emerald-city,3.8,-1,Boulder,"V0 PG13",1,20,33.81759,-116.64934
"Frank's Roof","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228976/franks-roof,3.0,-1,Boulder,V3,1,10,33.81241,-116.64602
"Hueco Shuffle","Hueco Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505709/hueco-shuffle,3.0,-1,Boulder,V1,1,13,33.8159,-116.64911
"White Flight","White Flight Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674829/white-flight,3.7,-1,Boulder,"V3- PG13",1,20,33.81366,-116.64963
"Standing on the Head of the Dragon","Dragon's Head > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997111/standing-on-the-head-of-the-dragon,3.6,-1,Boulder,V4,1,30,33.81363,-116.65063
"Paul Rocks","Paul's Rock > The Beach > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832285/paul-rocks,2.6,-1,Boulder,V4-,1,10,33.81671,-116.64839
"Sunshine Daydream (aka Yo Picasso)","Sunshine Daydream Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106492551/sunshine-daydream-aka-yo-picasso,3.7,-1,Boulder,V4,1,16,33.81537,-116.65012
"The Terminator","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228982/the-terminator,2.3,-1,Boulder,V2,1,12,33.81241,-116.64602
"Line Dance","Swing Dance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832039/line-dance,2.3,-1,Boulder,V1+,1,12,33.81573,-116.64921
"Frank's Problem","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106387902/franks-problem,2.9,-1,Boulder,V4,1,15,33.81241,-116.64602
"Buck Rogers","Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106226186/buck-rogers,2.5,-1,Boulder,V2,1,10,33.81345,-116.64506
Illuminatrix,"Conspiracy Boulder > The Beach > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108240960/illuminatrix,4.0,-1,Boulder,"V4 PG13",1,13,33.81806,-116.64637
Tri-Nitro-Toulumne,"Emerald City > The West Rim > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107176665/tri-nitro-toulumne,3.5,-1,Boulder,"V3 PG13",1,20,33.81759,-116.64934
"Humpin' the Walrus","Walrus Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109141480/humpin-the-walrus,2.9,-1,Boulder,V4,1,,33.81594,-116.64914
"Trailside Tango","Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106226116/trailside-tango,2.5,-1,Boulder,V4,1,15,33.81273,-116.64341
"March Arete","March Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106485860/march-arete,2.8,-1,Boulder,V2+,1,16,33.81388,-116.64844
"Feel's like a Virgin","Boulder Cluster > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108190840/feels-like-a-virgin,3.6,-1,Boulder,"V3 R",1,16,33.81425,-116.64769
"Shades of the Oldschool","Green Tea Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674913/shades-of-the-oldschool,3.7,-1,Boulder,"V2 R",1,25,33.81393,-116.64932
"Flash Gordon","Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106226208/flash-gordon,2.0,-1,Boulder,V3,1,5,33.81345,-116.64506
Waltz,"[Redacted] > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505763/waltz,2.1,-1,Boulder,V1,1,12,33.8159,-116.64911
"Sea of Tranquility","Moon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107746032/sea-of-tranquility,2.9,-1,Boulder,"V1 R",1,25,33.81351,-116.6451
"All Seeing Eye of the Great Architect of the Universe","Conspiracy Boulder > The Beach > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107697696/all-seeing-eye-of-the-great-architect-of-the-universe,2.9,-1,Boulder,V2,1,15,33.81806,-116.64637
