Route,Location,Latitude,Longitude,URL,votes_most_log
"Emerald City (V0 PG13 3.8 84) 
 Tri-Nitro-Toulumne (V3 PG13 3.5 31) 
 Problem B (V1 R 2.6 6) 
 Problem A (V0 2.4 6)",Emerald City,33.81759,-116.64934,https://www.mountainproject.com/route/107176656/emerald-city,1.9242792860618816
"Frank's Roof (V3 3.0 106) 
 The Terminator (V2 2.3 93) 
 Frank's Problem (V4 2.9 49) 
 Frank's Direct (V3 2.3 23) 
 Short Sloper Traverse (V4 2.5 14) 
 Frank's Problem (variation) (V2 2.4 11)",Frank's Boulder,33.81241,-116.64602,https://www.mountainproject.com/route/106228976/franks-roof,2.0253058652647704
"Hueco Shuffle (V1 3.0 138) 
 Waltz (V1 2.1 46) 
 Breakdance (V3 2.4 30) 
 Hueco Shuffle - Left (V2+ 2.5 14) 
 La Bocha de  Boogy (V3 2.1 20) 
 Samba (V2+ 1.6 15) 
 Hueco Shuffle - Direct (V3 2.0 6) 
 Problem B (V2 2.0 3) 
 The Crusty Crab (V3 2.0 1) 
 Split (V3 2.0 1) 
 Last Man Standing (V2 1.5 5) 
 Problem C (V0 1.0 2) 
 Problem A (V0 1.0 1) 
 Problem A (V2 1.0 1)",Hueco Boulder,33.8159,-116.64911,https://www.mountainproject.com/route/106505709/hueco-shuffle,2.1398790864012365
"White Flight (V3- PG13 3.7 63) 
 Poorman's Facet Arête (V4 1.0 1)",White Flight Boulder,33.81366,-116.64963,https://www.mountainproject.com/route/107674829/white-flight,1.7993405494535817
Standing on the Head of the Dragon (V4 3.6 63),Dragon's Head,33.81363,-116.65063,https://www.mountainproject.com/route/105997111/standing-on-the-head-of-the-dragon,1.7993405494535817
"Paul Rocks (V4- 2.6 104) 
 Paul's Cock (V3- 1.3 21) 
 Paul's Cock Rocks (V3 2.0 2)",Paul's Rock,33.81671,-116.64839,https://www.mountainproject.com/route/106832285/paul-rocks,2.0170333392987803
Sunshine Daydream (aka Yo Picasso) (V4 3.7 56),Sunshine Daydream Boulder,33.81537,-116.65012,https://www.mountainproject.com/route/106492551/sunshine-daydream-aka-yo-picasso,1.7481880270062005
"Line Dance (V1+ 2.3 83) 
 Square Dance (V4- 2.1 34) 
 Busta Move (V4 1.8 9) 
 Act of Contrivance (V4 2.0 2)",Swing Dance Boulder,33.81573,-116.64921,https://www.mountainproject.com/route/106832039/line-dance,1.919078092376074
"Buck Rogers (V2 2.5 54) 
 Flash Gordon (V3 2.0 49) 
 Buck Rodgers Variation (V3 2.1 14) 
 Space Crack (V1 1.6 15)",Flash Gordon Boulder,33.81345,-116.64506,https://www.mountainproject.com/route/106226186/buck-rogers,1.7323937598229686
"Illuminatrix (V4 PG13 4.0 22) 
 All Seeing Eye of the Great Architect of the Universe (V2 2.9 24)",Conspiracy Boulder,33.81806,-116.64637,https://www.mountainproject.com/route/108240960/illuminatrix,1.3424226808222062
Humpin' the Walrus (V4 2.9 40),Walrus Boulder,33.81594,-116.64914,https://www.mountainproject.com/route/109141480/humpin-the-walrus,1.6020599913279625
"Trailside Tango (V4 2.5 48) 
 Trail Rail (V1 2.1 35) 
 Tourist Zone (V0+ 1.6 27) 
 Tourist Trophy (V-easy 1.5 26) 
 Tourist Remover (V3+ 1.9 13) 
 Tourist Slab (V-easy 2.0 1) 
 Just Another Trailside Attraction (V4 1.4 7) 
 CMMRP (V2- 0.5 2)",Ranger Station Rock 3,33.81273,-116.64341,https://www.mountainproject.com/route/106226116/trailside-tango,1.6812412373755872
"March Arete (V2+ 2.8 41) 
 March Madness (V1 R 1.3 4)",March Boulder,33.81388,-116.64844,https://www.mountainproject.com/route/106485860/march-arete,1.6127838567197355
Feel's like a Virgin (V3 R 3.6 21),Boulder Cluster,33.81425,-116.64769,https://www.mountainproject.com/route/108190840/feels-like-a-virgin,1.3222192947339193
"Shades of the Oldschool (V2 R 3.7 17) 
 Green Tea Arête (V4 3.0 4)",Green Tea Boulder,33.81393,-116.64932,https://www.mountainproject.com/route/107674913/shades-of-the-oldschool,1.2304489213782739
"Sea of Tranquility (V1 R 2.9 28) 
 Serpentine Ridge (V0- R 2.4 11) 
 Oceanus (V-easy PG13 2.3 13)",Moon Boulder,33.81351,-116.6451,https://www.mountainproject.com/route/107746032/sea-of-tranquility,1.4471580313422192
"Ride the Lightning (V0+ R 3.7 7) 
 British Rail (V4 3.0 4) 
 The Green Room (V2 2.3 3) 
 The Wormhole (V3 2.0 2) 
 Vulpecula (V2 2.0 2) 
 Colonel Angus (V3 2.0 1) 
 Colonel Angus Left (V0 2.0 1) 
 Jug or Not (V4+ 2.0 1) 
 Unknown (V3+ 2.0 1) 
 Knobby Face (V2-3 2.0 1) 
 Ricks Dyno (V2 1.5 2) 
 Gemini (V-easy 1.5 2) 
 Entropy (V1 1.5 2) 
 The Underground (V2- 1.5 2) 
 Metrolink (V1+ 1.5 2) 
 Cassieopeia (V0 1.0 2) 
 Pietra Dura (V-easy 1.0 2) 
 Cepheus (V2 1.0 2) 
 Messylepica (V0 1.0 2) 
 The Longest Barrel Ride (V3 1.0 2) 
 Ricki Ticki (V4 1.0 1) 
 Daddy's Little Helper (V1 1.0 1)",Lightning Boulder,33.82028,-116.63663,https://www.mountainproject.com/route/105997125/ride-the-lightning,0.8450980400142568
"Black Moon (V3 R 3.6 8) 
 Da Way (V3 3.0 1) 
 Tram Pirates (V3 -1.0 0) 
 Unnamed  V2 (V2 -1.0 0)",Black Moon Boulder,33.81241,-116.6457,https://www.mountainproject.com/route/108978322/black-moon,0.9030899869919435
Space Wrangler (V4 3.3 14),Space Wrangler,33.81302,-116.63946,https://www.mountainproject.com/route/111992808/space-wrangler,1.146128035678238
"Tetrys (V1 2.8 27) 
 Tetrys Right (V2 2.7 20)",Tetrys Boulder,33.81464,-116.6519,https://www.mountainproject.com/route/106499166/tetrys,1.4313637641589874
"Glass Traverse (V-easy 2.9 21) 
 Glass Direct (V0 2.6 19) 
 Glass Indirect (V2 2.6 16) 
 Heart of Glass (V-easy 2.1 9) 
 Glass Jugs (V-easy 2.2 7) 
 Glass Slippers (V4 1.9 12)",Glass Boulder,33.81722,-116.64884,https://www.mountainproject.com/route/106859688/glass-traverse,1.3222192947339193
Obe Problem Direct (V3-4 3.0 18),Obe Boulder,33.81725,-116.64806,https://www.mountainproject.com/route/107697623/obe-problem-direct,1.255272505103306
"Velvet Fog (V3 3.0 17) 
 Marc's Variation (V4 2.5 2) 
 Unnamed (V4 2.0 1)",Velvet Fog boulder,33.8151,-116.65088,https://www.mountainproject.com/route/107218954/velvet-fog,1.2304489213782739
"Black Cauldron (V4 2.8 21) 
 Black Prince (V3- 2.3 28)",Black Cauldron Boulder,33.81072,-116.64721,https://www.mountainproject.com/route/106200545/black-cauldron,1.3222192947339193
The Honey Pots (V2 2.7 22),Vanishing Point Boulder,33.81442,-116.64229,https://www.mountainproject.com/route/107674966/the-honey-pots,1.3424226808222062
"Center Crack (V0 2.5 22) 
 Dyno Problem (V2 1.9 10) 
 Chimney Rock Traverse (V3 2.0 4) 
 Moldy Cheese (V2 2.0 1) 
 Highball Jugs (V0 R 2.0 1) 
 Right Arête (V1 1.6 7)",Chimney Rock,33.81364,-116.64148,https://www.mountainproject.com/route/107674938/center-crack,1.3424226808222062
Railer (V3 2.5 22),Railer Boulder,33.81751,-116.64752,https://www.mountainproject.com/route/107215850/railer,1.3424226808222062
Ceramic Salamander (V4 3.1 11),Salamander Boulder,33.81899,-116.65024,https://www.mountainproject.com/route/108405138/ceramic-salamander,1.041392685158225
"Propane (V2 1.9 34) 
 Methane Direct (V4 2.0 6)",Methane Boulder,33.81669,-116.64831,https://www.mountainproject.com/route/107241969/propane,1.5314789170422551
