Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Kobra Khan","Halloween Town > Left Fork > Joe's Valley > Central Utah > Utah",https://www.mountainproject.com/route/113748359/kobra-khan,3.9,-1,Boulder,V4,1,20,39.2719,-111.19439
"Tequila Sunset","Tequila Boulder > Party Pit Area > White Pine South > White Pine Boulders > Boulders - Little Cottonwood > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109242831/tequila-sunset,3.8,-1,Boulder,V4,1,15,40.57299,-111.68839
Michelangelo,"Man Size > Right Fork > Joe's Valley > Central Utah > Utah",https://www.mountainproject.com/route/106309689/michelangelo,3.8,-1,Boulder,"V3 R",1,20,39.28916,-111.18067
"Toadstool Traverse","Toadstool > Mario Land > Moe's Valley > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/112517488/toadstool-traverse,3.7,-1,Boulder,V4-5,1,30,37.07794,-113.6307
"The Angler","Riverside Boulders > Left Fork > Joe's Valley > Central Utah > Utah",https://www.mountainproject.com/route/105880426/the-angler,3.6,-1,Boulder,V2,1,15,39.27864,-111.22785
Jim,"Shivers Boulder > The Riverside > Boulders - Little Cottonwood > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107307962/jim,3.6,-1,Boulder,V4,1,,40.57134,-111.75712
"Brown Power","Block Top Boulder > Big Bend Bouldering Area > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106347517/brown-power,3.6,-1,Boulder,V4,1,10,38.65078,-109.48395
Surfboard,"5 Mile Boulders > Boulders - Little Cottonwood > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106219764/surfboard,3.5,-1,Boulder,V4,1,10,40.57223,-111.75618
Twisted,"Copperhead Boulder > Secret Garden > Boulders - Little Cottonwood > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105940363/twisted,3.5,-1,Boulder,V4,1,12,40.57212,-111.77269
Underboy,"Monkey Boy Area > Moe's Valley > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/108139578/underboy,3.5,-1,Boulder,V4,1,,37.06753,-113.63276
"The Fridge","South End > Moe's Valley > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/114014069/the-fridge,3.5,-1,Boulder,V4,1,12,37.06292,-113.63082
"The Spider","South-West End/Pink Lady Area > Moe's Valley > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/112482800/the-spider,3.5,-1,Boulder,V3,1,12,37.06494,-113.63155
"Bowling Ball","Buoux Area > Right Fork > Joe's Valley > Central Utah > Utah",https://www.mountainproject.com/route/105904242/bowling-ball,3.4,-1,Boulder,V4,1,12,39.30718,-111.18428
