Route,Location,Latitude,Longitude,URL,votes_most_log
Exit Wound (V0 2.8 5),Parking Area,39.31063,-111.12032,https://www.mountainproject.com/route/109590434/exit-wound,0.6989700043360189
Hands Off My Sandwich (V0- 3.5 2),Picnic Boulder,40.51254,-111.65527,https://www.mountainproject.com/route/119303936/hands-off-my-sandwich,0.3010299956639812
"Rednecking (V3 2.0 2) 
 Rednecking Arete (V4 3.0 1) 
 Convexity (V4-5 PG13 3.0 2)",Shot Hole Boulder,37.06962,-113.62769,https://www.mountainproject.com/route/118607274/rednecking,0.3010299956639812
Most Right Anviloid (V4 2.0 2),Anvil,37.06905,-113.62756,https://www.mountainproject.com/route/122079525/most-right-anviloid,0.3010299956639812
Hidden Arete (V4 2.7 7),Hidden Arete Boulder,40.57217,-111.7512,https://www.mountainproject.com/route/119834686/hidden-arete,0.8450980400142568
Shrimps (V4 2.7 7),Baggins Boulder,40.57203,-111.77031,https://www.mountainproject.com/route/119238746/shrimps,0.8450980400142568
Standard Traverse (V1 2.3 15),Pete's Rock,40.65299,-111.806,https://www.mountainproject.com/route/105835417/standard-traverse,1.1760912590556813
Power Wedgie (V3 3.0 2),South Face,40.57399,-111.7486,https://www.mountainproject.com/route/123409399/power-wedgie,0.3010299956639812
Lost and Found (V4 3.0 2),Lost and Found Boulder,37.0479,-113.51269,https://www.mountainproject.com/route/107245777/lost-and-found,0.3010299956639812
-20 Degrees (V2 3.0 2),Parking Lot Boulder,41.7435,-111.79499,https://www.mountainproject.com/route/106790599/20-degrees,0.3010299956639812
Plethora (V4 3.0 2),Plethora,39.45712,-111.32145,https://www.mountainproject.com/route/122786450/plethora,0.3010299956639812
Icarus (V1-2 3.0 2),Olympus Boulder,37.04046,-113.52454,https://www.mountainproject.com/route/110188051/icarus,0.3010299956639812
"Black Bermuda (V3 3.0 2) 
 Sweet Embrosia (V2 3.0 2)",Dynasty Boulder,37.04113,-113.52444,https://www.mountainproject.com/route/110203316/black-bermuda,0.3010299956639812
Wrath of the Squirrels (V4 3.0 2),Caerbannog Boulder,37.04813,-113.5127,https://www.mountainproject.com/route/110138380/wrath-of-the-squirrels,0.3010299956639812
Right Side of the Triangle (V1 3.0 2),Triangle Boulder,38.2103,-111.191,https://www.mountainproject.com/route/108221488/right-side-of-the-triangle,0.3010299956639812
"Raised in a Barn (V2 3.0 2) 
 Senior Peckerwood (V4 3.0 2)",Petrified Boulder,37.04762,-113.5133,https://www.mountainproject.com/route/110088638/raised-in-a-barn,0.3010299956639812
Butt Rocker (V3- 3.0 2),Everett Ruess Memorial Boulder,38.2513,-111.2307,https://www.mountainproject.com/route/108267376/butt-rocker,0.3010299956639812
Pine (V4 2.6 10),Oil Pump Area,39.34542,-111.20707,https://www.mountainproject.com/route/109018791/pine,1.0
Floor Yoga (V4 3.0 2),Marathon Boulder,37.07811,-111.62641,https://www.mountainproject.com/route/112268787/floor-yoga,0.3010299956639812
Block Party (V4-5 3.0 2),The Block of Shameful Lowballs,37.07848,-111.62844,https://www.mountainproject.com/route/112255844/block-party,0.3010299956639812
The Brain (V3 3.0 2),Tank Boulder,40.4469,-111.6881,https://www.mountainproject.com/route/107515632/the-brain,0.3010299956639812
Gnarnia (V-easy 3.0 2),Sector Boulder Area,39.33695,-110.74343,https://www.mountainproject.com/route/106668475/gnarnia,0.3010299956639812
Rockette Arete (V3 3.0 2),The Rockette Boulder,37.0686,-111.60796,https://www.mountainproject.com/route/113105313/rockette-arete,0.3010299956639812
Noob (V4-5 3.0 2),Nessi's,40.19846,-111.90939,https://www.mountainproject.com/route/122932977/noob,0.3010299956639812
